episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
100,100,8000,0.000e+00,0.000e+00,-1.499e+00,-1.499e+00,8.700e-01,0.000e+00,0.000e+00,-1.485e+00,-1.485e+00,8.700e-01
200,200,16000,0.000e+00,0.000e+00,-1.510e+00,-1.510e+00,8.778e-01,0.000e+00,0.000e+00,-1.509e+00,-1.509e+00,8.778e-01
300,300,24000,0.000e+00,0.000e+00,-1.519e+00,-1.519e+00,8.838e-01,0.000e+00,0.000e+00,-1.493e+00,-1.493e+00,8.838e-01
400,400,32000,0.000e+00,0.000e+00,-1.516e+00,-1.516e+00,8.792e-01,0.000e+00,0.000e+00,-1.529e+00,-1.529e+00,8.792e-01
500,500,40000,0.000e+00,0.000e+00,-1.517e+00,-1.517e+00,8.809e-01,0.000e+00,0.000e+00,-1.531e+00,-1.531e+00,8.809e-01
600,600,48000,0.000e+00,0.000e+00,-1.567e+00,-1.567e+00,8.764e-01,0.000e+00,0.000e+00,-1.520e+00,-1.520e+00,8.764e-01
700,700,56000,0.000e+00,0.000e+00,-1.577e+00,-1.577e+00,8.700e-01,0.000e+00,0.000e+00,-1.546e+00,-1.546e+00,8.700e-01
800,800,64000,0.000e+00,0.000e+00,-1.564e+00,-1.564e+00,8.888e-01,0.000e+00,0.000e+00,-1.579e+00,-1.579e+00,8.888e-01
900,900,72000,0.000e+00,0.000e+00,-1.570e+00,-1.570e+00,8.978e-01,0.000e+00,0.000e+00,-1.630e+00,-1.630e+00,8.978e-01
1000,1000,80000,0.000e+00,0.000e+00,-1.627e+00,-1.627e+00,8.953e-01,0.000e+00,0.000e+00,-1.652e+00,-1.652e+00,8.953e-01
1100,1100,88000,0.000e+00,0.000e+00,-1.617e+00,-1.617e+00,9.053e-01,0.000e+00,0.000e+00,-1.712e+00,-1.712e+00,9.053e-01
1200,1200,96000,0.000e+00,0.000e+00,-1.619e+00,-1.619e+00,9.026e-01,0.000e+00,0.000e+00,-1.751e+00,-1.751e+00,9.026e-01
1300,1300,104000,0.000e+00,0.000e+00,-1.643e+00,-1.643e+00,9.181e-01,0.000e+00,0.000e+00,-1.807e+00,-1.807e+00,9.181e-01
1400,1400,112000,0.000e+00,0.000e+00,-1.675e+00,-1.675e+00,9.252e-01,0.000e+00,0.000e+00,-1.856e+00,-1.856e+00,9.252e-01
1500,1500,120000,0.000e+00,0.000e+00,-1.727e+00,-1.727e+00,9.400e-01,0.000e+00,0.000e+00,-1.889e+00,-1.889e+00,9.400e-01
1600,1600,128000,0.000e+00,0.000e+00,-1.755e+00,-1.755e+00,9.511e-01,0.000e+00,0.000e+00,-1.942e+00,-1.942e+00,9.511e-01
1700,1700,136000,0.000e+00,0.000e+00,-1.791e+00,-1.791e+00,9.721e-01,0.000e+00,0.000e+00,-1.987e+00,-1.987e+00,9.721e-01
1800,1800,144000,0.000e+00,0.000e+00,-1.835e+00,-1.835e+00,9.819e-01,0.000e+00,0.000e+00,-2.009e+00,-2.009e+00,9.819e-01
1900,1900,152000,0.000e+00,0.000e+00,-1.881e+00,-1.881e+00,9.874e-01,0.000e+00,0.000e+00,-2.000e+00,-2.000e+00,9.874e-01
