episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,4.60e-01,4.60e-01,1.50,0.00e+00,0.00e+00,0.00e+00,2.80e-01,0.00e+00,0.00e+00,3.68e-01,3.68e-01,0.80,0.00e+00,0.00e+00,0.00e+00,2.80e-01,210,8.28e-01
2000,1000,100000,0.00e+00,0.00e+00,7.20e-01,7.20e-01,1.60,0.00e+00,0.00e+00,0.00e+00,2.40e-01,0.00e+00,0.00e+00,2.56e-01,2.56e-01,0.80,0.00e+00,0.00e+00,0.00e+00,2.40e-01,417,9.76e-01
3000,1500,150000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.60,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.00e-01,624,0.00e+00
4000,2000,200000,0.00e+00,0.00e+00,6.00e-01,6.00e-01,1.10,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,3.32e-01,3.32e-01,0.70,0.00e+00,0.00e+00,0.00e+00,4.00e-01,831,9.32e-01
5000,2500,250000,0.00e+00,0.00e+00,7.20e-01,7.20e-01,2.90,0.00e+00,0.00e+00,0.00e+00,3.40e-01,0.00e+00,0.00e+00,7.92e-01,7.92e-01,0.10,0.00e+00,0.00e+00,0.00e+00,3.40e-01,1030,1.51e+00
6000,3000,300000,0.00e+00,0.00e+00,4.80e-01,4.80e-01,1.50,0.00e+00,0.00e+00,0.00e+00,3.40e-01,0.00e+00,0.00e+00,8.36e-01,8.36e-01,0.70,0.00e+00,0.00e+00,0.00e+00,3.40e-01,1226,1.32e+00
7000,3500,350000,0.00e+00,0.00e+00,4.40e-01,4.40e-01,3.50,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,1.30e+00,1.30e+00,0.30,0.00e+00,0.00e+00,0.00e+00,3.00e-01,1421,1.74e+00
8000,4000,400000,0.00e+00,0.00e+00,9.80e-01,9.80e-01,3.70,0.00e+00,0.00e+00,0.00e+00,2.40e-01,0.00e+00,0.00e+00,1.14e+00,1.14e+00,0.30,0.00e+00,0.00e+00,0.00e+00,2.40e-01,1616,2.12e+00
9000,4500,450000,0.00e+00,0.00e+00,6.40e-01,6.40e-01,4.00,0.00e+00,0.00e+00,0.00e+00,1.60e-01,0.00e+00,0.00e+00,1.23e+00,1.23e+00,0.30,0.00e+00,0.00e+00,0.00e+00,1.60e-01,1812,1.87e+00
10000,5000,500000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,5.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,5.40e-01,5.40e-01,0.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,2007,9.40e-01
