episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
22000,11000,1100000,0.00e+00,0.00e+00,2.00e-01,2.00e-01,2.20,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.00e+00,1.00e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-3057,1.20e+00
23000,11500,1150000,0.00e+00,0.00e+00,2.00e-01,2.00e-01,1.20,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,8.00e-01,8.00e-01,0.10,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-2871,1.00e+00
24000,12000,1200000,0.00e+00,0.00e+00,2.00e-01,2.00e-01,2.40,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.10e+00,1.10e+00,0.10,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-2685,1.30e+00
25000,12500,1250000,0.00e+00,0.00e+00,2.00e-01,2.00e-01,1.80,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,8.00e-01,8.00e-01,0.30,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-2499,1.00e+00
26000,13000,1300000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,2.30,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.00e+00,1.00e+00,0.20,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-2313,1.40e+00
27000,13500,1350000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,6.00e-01,6.00e-01,0.30,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-2127,6.00e-01
28000,14000,1400000,0.00e+00,0.00e+00,1.00e-01,1.00e-01,3.20,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.00e+00,1.00e+00,0.10,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-1940,1.10e+00
29000,14500,1450000,0.00e+00,0.00e+00,5.00e-01,5.00e-01,1.20,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,7.00e-01,7.00e-01,0.70,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-1754,1.20e+00
30000,15000,1500000,0.00e+00,0.00e+00,2.00e-01,2.00e-01,3.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.60e+00,1.60e+00,0.50,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-1568,1.80e+00
31000,15500,1550000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,1.20,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,5.00e-01,5.00e-01,1.30,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-1382,9.00e-01
32000,16000,1600000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,2.70,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,6.00e-01,6.00e-01,1.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-1196,1.00e+00
