episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,3.20e-03,1.65e-03,1.00e-01,9.84e-02,8.10,1.28e-03,3.78e-04,2.89e-04,1.00e+00,2.49e-03,2.82e-03,7.00e-01,7.00e-01,2.80,7.39e-04,3.36e-04,9.23e-05,1.00e+00,2.40e-03,3.61e-03,1.40e+00,1.40e+00,0.70,5.40e-04,6.72e-04,1.73e-05,1.00e+00,512,2.20e+00
2000,1000,100000,8.07e-04,9.88e-04,0.00e+00,1.81e-04,3.90,3.07e-04,1.43e-04,4.67e-05,1.00e+00,1.78e-03,7.87e-04,5.00e-01,4.99e-01,0.40,3.50e-05,8.33e-05,3.82e-06,1.00e+00,8.40e-04,1.66e-03,7.00e-01,7.01e-01,0.10,1.34e-05,4.62e-04,6.04e-07,1.00e+00,1024,1.20e+00
3000,1500,150000,4.87e-04,5.52e-04,0.00e+00,6.52e-05,6.70,3.22e-04,7.56e-05,3.06e-05,1.00e+00,9.54e-04,5.42e-04,1.50e+00,1.50e+00,0.20,1.74e-05,5.85e-05,2.58e-06,1.00e+00,5.25e-04,8.71e-04,1.90e+00,1.90e+00,0.00,0.00e+00,2.32e-04,0.00e+00,1.00e+00,1508,3.40e+00
4000,2000,200000,2.81e-04,1.55e-04,1.00e-01,9.99e-02,8.10,5.16e-05,2.32e-05,1.02e-05,1.00e+00,1.90e-04,3.28e-04,1.60e+00,1.60e+00,0.40,2.82e-05,3.66e-05,3.08e-06,1.00e+00,2.57e-04,2.44e-04,2.30e+00,2.30e+00,0.00,8.12e-07,5.32e-05,0.00e+00,1.00e+00,1972,4.00e+00
5000,2500,250000,1.47e-04,1.04e-04,0.00e+00,-4.25e-05,7.10,4.33e-05,2.58e-05,1.22e-05,1.00e+00,1.80e-04,1.54e-04,1.60e+00,1.60e+00,0.20,4.10e-06,1.47e-05,7.25e-07,1.00e+00,9.22e-05,1.61e-04,1.50e+00,1.50e+00,0.60,1.42e-05,3.66e-05,2.18e-06,1.00e+00,2436,3.10e+00
6000,3000,300000,8.88e-05,6.61e-05,4.00e-01,4.00e-01,6.30,4.07e-05,9.80e-06,5.93e-06,1.00e+00,1.25e-04,7.73e-05,1.90e+00,1.90e+00,0.90,7.06e-06,7.95e-06,9.74e-07,1.00e+00,3.78e-05,1.08e-04,1.10e+00,1.10e+00,0.00,0.00e+00,1.49e-05,0.00e+00,1.00e+00,2900,3.40e+00
7000,3500,350000,5.51e-05,3.34e-05,0.00e+00,-2.17e-05,7.70,2.56e-05,9.42e-06,5.34e-06,1.00e+00,6.22e-05,4.39e-05,1.40e+00,1.40e+00,0.10,4.55e-07,5.99e-06,7.16e-08,1.00e+00,1.90e-05,5.90e-05,1.80e+00,1.80e+00,0.10,5.49e-07,9.74e-06,2.61e-08,1.00e+00,3364,3.20e+00
8000,4000,400000,3.05e-05,3.01e-05,1.00e-01,1.00e-01,9.50,1.68e-05,6.00e-06,4.86e-06,1.00e+00,6.25e-05,2.22e-05,1.80e+00,1.80e+00,0.20,4.66e-07,2.47e-06,8.62e-08,1.00e+00,9.79e-06,5.05e-05,2.70e+00,2.70e+00,0.10,8.39e-07,1.11e-05,2.56e-08,1.00e+00,3828,4.60e+00
9000,4500,450000,1.99e-05,1.62e-05,2.00e-01,2.00e-01,5.20,7.24e-06,4.41e-06,1.75e-06,1.00e+00,3.04e-05,1.50e-05,9.00e-01,9.00e-01,0.50,1.10e-06,1.87e-06,1.48e-07,1.00e+00,7.32e-06,2.65e-05,1.40e+00,1.40e+00,0.00,0.00e+00,5.93e-06,0.00e+00,1.00e+00,4292,2.50e+00
10000,5000,500000,1.59e-05,1.09e-05,1.00e-01,1.00e-01,6.30,6.96e-06,1.66e-06,8.18e-07,1.00e+00,2.10e-05,1.15e-05,1.10e+00,1.10e+00,0.00,2.30e-07,1.69e-06,0.00e+00,1.00e+00,5.20e-06,1.97e-05,1.40e+00,1.40e+00,0.00,0.00e+00,4.62e-06,0.00e+00,1.00e+00,4756,2.60e+00
11000,5500,550000,1.13e-05,1.45e-05,1.00e-01,1.00e-01,5.60,6.17e-06,5.18e-06,2.59e-06,1.00e+00,2.85e-05,8.27e-06,1.10e+00,1.10e+00,0.10,7.39e-08,1.16e-06,1.65e-08,1.00e+00,3.31e-06,2.03e-05,1.00e+00,1.00e+00,0.00,5.01e-08,3.83e-06,0.00e+00,1.00e+00,5220,2.20e+00
12000,6000,600000,8.99e-06,4.70e-06,1.00e-01,1.00e-01,4.90,2.30e-06,1.38e-06,1.03e-06,1.00e+00,8.22e-06,6.54e-06,1.30e+00,1.30e+00,0.00,0.00e+00,1.10e-06,0.00e+00,1.00e+00,2.55e-06,8.51e-06,1.40e+00,1.40e+00,0.00,0.00e+00,1.45e-06,0.00e+00,1.00e+00,5685,2.80e+00
13000,6500,650000,5.99e-06,2.54e-06,3.00e-01,3.00e-01,4.30,4.91e-07,4.96e-07,1.51e-07,1.00e+00,3.88e-06,4.45e-06,9.00e-01,9.00e-01,0.10,1.77e-07,5.63e-07,1.14e-08,1.00e+00,2.01e-06,4.89e-06,1.60e+00,1.60e+00,0.00,0.00e+00,8.04e-07,0.00e+00,1.00e+00,6149,2.80e+00
14000,7000,700000,3.79e-06,2.29e-06,2.00e-01,2.00e-01,4.30,7.52e-07,4.20e-07,2.36e-07,1.00e+00,3.65e-06,2.78e-06,1.40e+00,1.40e+00,0.00,8.21e-09,3.54e-07,0.00e+00,1.00e+00,1.46e-06,3.82e-06,1.50e+00,1.50e+00,0.00,0.00e+00,6.92e-07,0.00e+00,1.00e+00,6614,3.10e+00
15000,7500,750000,2.42e-06,2.35e-06,1.00e-01,1.00e-01,5.40,1.22e-06,7.15e-07,2.10e-07,1.00e+00,4.19e-06,1.74e-06,1.30e+00,1.30e+00,0.20,5.67e-08,2.42e-07,1.07e-08,1.00e+00,1.02e-06,3.53e-06,1.30e+00,1.30e+00,0.00,0.00e+00,9.45e-07,0.00e+00,1.00e+00,7079,2.70e+00
16000,8000,800000,2.16e-06,1.96e-06,5.00e-01,5.00e-01,2.60,4.59e-07,2.76e-07,8.91e-08,1.00e+00,3.46e-06,1.51e-06,1.30e+00,1.30e+00,0.00,9.12e-09,2.48e-07,0.00e+00,1.00e+00,8.08e-07,2.95e-06,1.00e+00,1.00e+00,0.00,0.00e+00,6.67e-07,0.00e+00,1.00e+00,7544,2.80e+00
17000,8500,850000,1.78e-06,1.95e-06,3.00e-01,3.00e-01,3.90,3.35e-07,5.24e-07,7.74e-08,1.00e+00,3.35e-06,1.31e-06,1.40e+00,1.40e+00,0.10,1.75e-08,1.93e-07,2.80e-09,1.00e+00,7.67e-07,2.65e-06,1.20e+00,1.20e+00,0.00,0.00e+00,5.33e-07,0.00e+00,1.00e+00,8009,2.90e+00
18000,9000,900000,1.79e-06,2.30e-06,7.00e-01,7.00e-01,1.50,5.08e-08,4.90e-07,1.05e-08,1.00e+00,3.97e-06,1.37e-06,7.00e-01,7.00e-01,0.00,1.95e-08,2.30e-07,0.00e+00,1.00e+00,7.51e-07,2.83e-06,8.00e-01,8.00e-01,0.00,0.00e+00,2.64e-07,0.00e+00,1.00e+00,8472,2.20e+00
19000,9500,950000,1.12e-06,1.15e-06,2.00e-01,2.00e-01,3.70,1.83e-07,3.57e-07,2.22e-08,1.00e+00,1.78e-06,9.26e-07,1.30e+00,1.30e+00,0.00,6.45e-09,1.22e-07,0.00e+00,1.00e+00,5.92e-07,1.41e-06,1.30e+00,1.30e+00,0.00,0.00e+00,2.80e-07,0.00e+00,1.00e+00,8936,2.80e+00
20000,10000,1000000,8.85e-07,7.44e-07,2.00e-01,2.00e-01,3.40,1.93e-07,2.39e-07,3.90e-08,1.00e+00,1.02e-06,7.59e-07,6.00e-01,6.00e-01,0.80,3.53e-08,1.25e-07,8.96e-09,1.00e+00,5.01e-07,9.00e-07,1.50e+00,1.50e+00,0.00,0.00e+00,2.13e-07,0.00e+00,1.00e+00,9401,2.30e+00
21000,10500,1050000,9.46e-07,5.38e-07,7.00e-01,7.00e-01,2.40,5.33e-08,1.16e-07,1.34e-08,1.00e+00,6.29e-07,7.74e-07,9.00e-01,9.00e-01,0.00,2.92e-08,1.29e-07,0.00e+00,1.00e+00,4.55e-07,7.19e-07,1.10e+00,1.10e+00,0.00,0.00e+00,1.31e-07,0.00e+00,1.00e+00,9867,2.70e+00
