episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
1000,500,50000,6.65e+01,6.31e+01,0.00e+00,-3.35e+00,39.40,6.31e+01,6.31e+01,4.97e+01,1.00e+00,6.31e+01,6.65e+01,0.00e+00,3.35e+00,0.00,0.00e+00,6.64e+01,0.00e+00,1.00e+00,337,0.00e+00
2000,1000,100000,3.91e+00,5.65e-02,0.00e+00,-3.85e+00,39.80,5.65e-02,5.65e-02,4.52e-02,1.00e+00,5.65e-02,3.91e+00,1.00e-01,3.95e+00,0.00,0.00e+00,3.91e+00,0.00e+00,1.00e+00,643,1.00e-01
3000,1500,150000,3.75e+01,6.63e-05,4.00e-01,-3.71e+01,2.30,1.06e-05,5.65e-05,8.54e-06,1.00e+00,6.63e-05,3.75e+01,0.00e+00,3.75e+01,0.00,0.00e+00,3.75e+01,0.00e+00,1.00e+00,937,4.00e-01
4000,2000,200000,6.79e+01,3.09e-05,1.10e+00,-6.68e+01,1.30,4.38e-06,2.33e-05,2.90e-06,1.00e+00,3.09e-05,6.79e+01,1.00e-01,6.80e+01,0.00,0.00e+00,6.78e+01,0.00e+00,1.00e+00,1229,1.20e+00
5000,2500,250000,7.68e+01,2.04e-05,5.00e-01,-7.63e+01,1.30,3.35e-06,1.45e-05,2.24e-06,1.00e+00,2.04e-05,7.68e+01,0.00e+00,7.68e+01,0.00,0.00e+00,7.68e+01,0.00e+00,1.00e+00,1520,5.00e-01
6000,3000,300000,2.04e+00,1.55e-05,1.00e-01,-1.94e+00,0.80,1.62e-06,1.08e-05,1.08e-06,1.00e+00,1.55e-05,2.04e+00,0.00e+00,2.04e+00,0.00,0.00e+00,2.04e+00,0.00e+00,1.00e+00,1812,1.00e-01
7000,3500,350000,4.08e-01,1.38e-05,1.10e+00,6.92e-01,2.10,3.72e-06,9.71e-06,2.63e-06,1.00e+00,1.38e-05,4.08e-01,0.00e+00,4.08e-01,0.00,0.00e+00,4.08e-01,0.00e+00,1.00e+00,2103,1.10e+00
8000,4000,400000,4.12e-03,1.20e-05,7.00e-01,6.96e-01,2.80,4.29e-06,8.19e-06,3.14e-06,1.00e+00,1.20e-05,4.12e-03,0.00e+00,4.11e-03,0.00,0.00e+00,4.12e-03,0.00e+00,1.00e+00,2425,7.00e-01
9000,4500,450000,8.40e-02,9.58e-06,1.00e-01,1.60e-02,1.00,1.27e-06,6.85e-06,8.29e-07,1.00e+00,9.58e-06,8.40e-02,0.00e+00,8.40e-02,0.00,0.00e+00,8.40e-02,0.00e+00,1.00e+00,2718,1.00e-01
10000,5000,500000,9.69e-03,6.87e-06,7.00e-01,6.90e-01,2.70,2.23e-06,4.98e-06,1.46e-06,1.00e+00,6.87e-06,9.69e-03,1.00e-01,1.10e-01,0.00,0.00e+00,9.69e-03,0.00e+00,1.00e+00,3009,8.00e-01
