episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,9.00e-01,9.00e-01,2.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.00e-01,9.00e-01,1.40,0.00e+00,0.00e+00,0.00e+00,187,1.80e+00
2000,1000,100000,0.00e+00,0.00e+00,6.00e-01,6.00e-01,1.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.00e-01,6.00e-01,0.90,0.00e+00,0.00e+00,0.00e+00,371,1.20e+00
3000,1500,150000,0.00e+00,0.00e+00,5.00e-01,5.00e-01,1.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.00e-01,5.00e-01,1.00,0.00e+00,0.00e+00,0.00e+00,553,1.00e+00
4000,2000,200000,0.00e+00,0.00e+00,7.50e-01,7.50e-01,2.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.50e-01,7.50e-01,1.50,0.00e+00,0.00e+00,0.00e+00,735,1.50e+00
5000,2500,250000,0.00e+00,0.00e+00,7.00e-01,7.00e-01,3.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.00e-01,7.00e-01,0.20,0.00e+00,0.00e+00,0.00e+00,916,1.40e+00
6000,3000,300000,0.00e+00,0.00e+00,7.00e-01,7.00e-01,3.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.00e-01,7.00e-01,1.60,0.00e+00,0.00e+00,0.00e+00,1102,1.40e+00
7000,3500,350000,0.00e+00,0.00e+00,9.00e-01,9.00e-01,5.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.00e-01,9.00e-01,1.30,0.00e+00,0.00e+00,0.00e+00,1283,1.80e+00
8000,4000,400000,0.00e+00,0.00e+00,1.10e+00,1.10e+00,6.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.10e+00,1.10e+00,1.10,0.00e+00,0.00e+00,0.00e+00,1465,2.20e+00
9000,4500,450000,0.00e+00,0.00e+00,1.80e+00,1.80e+00,8.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.80e+00,1.80e+00,0.20,0.00e+00,0.00e+00,0.00e+00,1655,3.60e+00
10000,5000,500000,0.00e+00,0.00e+00,1.70e+00,1.70e+00,9.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.70e+00,1.70e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1837,3.40e+00
11000,5500,550000,0.00e+00,0.00e+00,2.25e+00,2.25e+00,11.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.25e+00,2.25e+00,0.10,0.00e+00,0.00e+00,0.00e+00,2028,4.50e+00
12000,6000,600000,0.00e+00,0.00e+00,2.55e+00,2.55e+00,11.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.55e+00,2.55e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2219,5.10e+00
13000,6500,650000,0.00e+00,0.00e+00,2.35e+00,2.35e+00,12.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.35e+00,2.35e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2410,4.70e+00
14000,7000,700000,0.00e+00,0.00e+00,3.65e+00,3.65e+00,17.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.65e+00,3.65e+00,0.10,0.00e+00,0.00e+00,0.00e+00,2601,7.30e+00
