episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
1000,500,50000,7.87e-02,1.88e-04,6.00e-01,5.21e-01,9.60,6.07e-05,1.87e-04,5.51e-05,1.00e+00,1.88e-04,7.87e-02,6.10e+00,6.18e+00,0.00,0.00e+00,1.38e-03,0.00e+00,1.00e+00,337,6.70e+00
2000,1000,100000,2.25e-02,1.00e-04,3.00e-01,2.78e-01,2.90,3.41e-05,9.50e-05,2.78e-05,1.00e+00,1.00e-04,2.25e-02,1.50e+00,1.52e+00,0.30,1.18e-03,1.36e-03,8.67e-05,1.00e+00,637,1.80e+00
3000,1500,150000,8.17e-03,1.56e-04,0.00e+00,-8.01e-03,4.20,6.82e-05,1.49e-04,6.56e-05,1.00e+00,1.56e-04,8.17e-03,1.30e+00,1.31e+00,0.20,2.76e-04,7.26e-04,1.73e-05,1.00e+00,925,1.30e+00
4000,2000,200000,3.79e-03,1.93e-04,3.00e-01,2.96e-01,2.70,6.30e-05,1.82e-04,5.96e-05,1.00e+00,1.93e-04,3.79e-03,1.00e+00,1.00e+00,0.00,0.00e+00,3.23e-04,0.00e+00,1.00e+00,1213,1.30e+00
5000,2500,250000,2.73e-03,5.37e-04,1.00e-01,9.78e-02,2.60,1.87e-04,5.06e-04,1.76e-04,1.00e+00,5.37e-04,2.73e-03,8.00e-01,8.02e-01,0.60,7.47e-05,2.79e-04,1.07e-05,1.00e+00,1501,9.00e-01
6000,3000,300000,7.43e-04,9.90e+01,0.00e+00,9.90e+01,37.40,9.90e+01,9.90e+01,7.41e+01,1.00e+00,9.90e+01,7.43e-04,2.62e+01,-7.28e+01,0.00,0.00e+00,4.48e-06,0.00e+00,1.00e+00,1795,2.62e+01
7000,3500,350000,6.78e-04,3.78e+01,0.00e+00,3.78e+01,38.20,3.78e+01,3.78e+01,2.94e+01,1.00e+00,3.78e+01,6.78e-04,2.85e+01,-9.34e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,2098,2.85e+01
8000,4000,400000,1.59e-06,6.60e+01,0.00e+00,6.60e+01,38.10,6.60e+01,6.60e+01,5.03e+01,1.00e+00,6.60e+01,1.59e-06,3.13e+01,-3.47e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,2433,3.13e+01
9000,4500,450000,1.59e-06,9.85e+01,0.00e+00,9.85e+01,36.90,9.85e+01,9.85e+01,7.27e+01,1.00e+00,9.85e+01,1.59e-06,3.19e+01,-6.66e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,2737,3.19e+01
10000,5000,500000,1.67e-06,9.77e+01,0.00e+00,9.77e+01,38.50,9.77e+01,9.77e+01,7.52e+01,1.00e+00,9.77e+01,1.67e-06,3.22e+01,-6.55e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,3040,3.22e+01
11000,5500,550000,1.68e-06,4.28e+00,0.00e+00,4.28e+00,38.50,4.28e+00,4.28e+00,4.00e+00,1.00e+00,4.28e+00,1.68e-06,3.44e+01,3.01e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,3343,3.44e+01
12000,6000,600000,1.86e-06,9.94e+01,0.00e+00,9.94e+01,38.50,9.94e+01,9.94e+01,7.66e+01,1.00e+00,9.94e+01,1.86e-06,3.60e+01,-6.34e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,3647,3.60e+01
13000,6500,650000,1.90e-06,9.99e+01,0.00e+00,9.99e+01,38.70,9.99e+01,9.99e+01,7.73e+01,1.00e+00,9.99e+01,1.90e-06,3.74e+01,-6.25e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,3950,3.74e+01
14000,7000,700000,6.18e-06,9.74e+01,0.00e+00,9.74e+01,31.70,8.44e+01,9.74e+01,6.34e+01,1.00e+00,9.74e+01,6.18e-06,3.17e+01,-6.57e+01,0.00,0.00e+00,1.45e-08,0.00e+00,1.00e+00,4258,3.17e+01
15000,7500,750000,8.86e-06,9.58e+01,0.00e+00,9.58e+01,0.40,8.00e-01,9.58e+01,8.00e-01,1.00e+00,9.58e+01,8.86e-06,0.00e+00,-9.58e+01,1.70,1.74e-06,7.81e-07,1.43e-07,1.00e+00,4558,0.00e+00
16000,8000,800000,4.14e-06,9.80e+01,0.00e+00,9.80e+01,7.20,1.76e+01,9.80e+01,1.44e+01,1.00e+00,9.80e+01,4.14e-06,5.20e+00,-9.28e+01,0.00,1.17e-07,3.47e-07,0.00e+00,1.00e+00,4859,5.20e+00
17000,8500,850000,2.09e-06,9.96e+01,0.00e+00,9.96e+01,33.20,8.50e+01,9.96e+01,6.64e+01,1.00e+00,9.96e+01,2.09e-06,3.33e+01,-6.63e+01,0.00,0.00e+00,3.56e-08,0.00e+00,1.00e+00,5161,3.33e+01
