episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
1000,500,50000,2.72e-03,3.52e-02,2.00e-01,2.32e-01,1.10,6.14e-03,9.90e-03,1.72e-03,1.00e+00,3.52e-02,2.72e-03,5.00e-01,4.68e-01,1.50,4.82e-04,3.08e-04,6.39e-05,1.00e+00,331,7.00e-01
2000,1000,100000,9.18e-04,2.25e-02,6.00e-01,6.22e-01,0.80,2.17e-03,7.19e-03,7.31e-04,1.00e+00,2.25e-02,9.18e-04,4.00e-01,3.78e-01,0.30,4.70e-05,7.17e-05,3.46e-06,1.00e+00,629,1.00e+00
3000,1500,150000,3.57e-04,4.25e-03,2.00e-01,2.04e-01,1.20,6.90e-04,1.48e-03,1.93e-04,1.00e+00,4.25e-03,3.57e-04,2.00e-01,1.96e-01,0.20,2.11e-05,5.20e-05,1.12e-06,1.00e+00,916,4.00e-01
4000,2000,200000,2.10e-04,2.89e-03,0.00e+00,2.68e-03,1.80,6.55e-04,1.00e-03,2.25e-04,1.00e+00,2.89e-03,2.10e-04,1.10e+00,1.10e+00,0.00,2.37e-06,2.02e-05,0.00e+00,1.00e+00,1203,1.10e+00
5000,2500,250000,1.30e-04,1.16e-01,6.00e-01,7.16e-01,3.50,4.03e-02,4.29e-02,1.66e-02,1.00e+00,1.16e-01,1.30e-04,2.00e+00,1.88e+00,0.20,5.12e-06,2.07e-05,4.20e-07,1.00e+00,1491,2.60e+00
6000,3000,300000,9.59e-05,7.25e-05,1.00e-01,1.00e-01,3.00,2.59e-05,1.81e-05,6.50e-06,1.00e+00,7.25e-05,9.59e-05,9.00e-01,9.00e-01,0.50,2.89e-06,1.12e-05,1.07e-06,1.00e+00,1778,1.00e+00
7000,3500,350000,6.81e-05,5.85e-05,6.00e-01,6.00e-01,1.90,1.45e-05,1.33e-05,3.76e-06,1.00e+00,5.85e-05,6.81e-05,8.00e-01,8.00e-01,0.00,4.42e-08,8.95e-06,0.00e+00,1.00e+00,2065,1.40e+00
8000,4000,400000,4.90e-05,6.30e-05,1.20e+00,1.20e+00,2.80,1.73e-05,1.63e-05,5.07e-06,1.00e+00,6.30e-05,4.90e-05,1.10e+00,1.10e+00,1.10,5.14e-06,5.53e-06,8.83e-07,1.00e+00,2373,2.30e+00
9000,4500,450000,3.38e-05,7.57e-05,4.00e-01,4.00e-01,5.30,4.25e-05,2.44e-05,1.29e-05,1.00e+00,7.57e-05,3.38e-05,2.10e+00,2.10e+00,0.00,3.23e-07,5.69e-06,0.00e+00,1.00e+00,2671,2.50e+00
10000,5000,500000,2.47e-05,4.03e-04,3.00e-01,3.00e-01,3.80,1.62e-04,1.36e-04,6.07e-05,1.00e+00,4.03e-04,2.47e-05,1.90e+00,1.90e+00,0.20,6.50e-07,3.10e-06,7.12e-08,1.00e+00,2958,2.20e+00
11000,5500,550000,1.95e-05,1.17e-02,0.00e+00,1.17e-02,2.60,3.38e-03,5.60e-03,1.62e-03,1.00e+00,1.17e-02,1.95e-05,1.20e+00,1.19e+00,0.10,1.90e-07,3.12e-06,4.05e-09,1.00e+00,3245,1.20e+00
12000,6000,600000,1.77e-06,9.72e+01,0.00e+00,9.72e+01,38.10,9.72e+01,9.72e+01,7.42e+01,1.00e+00,9.72e+01,1.77e-06,2.24e+01,-7.48e+01,0.00,0.00e+00,1.62e-08,0.00e+00,1.00e+00,3540,2.24e+01
13000,6500,650000,1.74e-06,7.07e-03,0.00e+00,7.07e-03,34.30,6.71e-03,7.07e-03,6.66e-03,1.00e+00,7.07e-03,1.74e-06,2.61e+01,2.61e+01,0.00,0.00e+00,2.36e-09,0.00e+00,1.00e+00,3842,2.61e+01
14000,7000,700000,1.47e-06,9.91e+01,0.00e+00,9.91e+01,32.50,9.04e+01,9.91e+01,6.46e+01,1.00e+00,9.91e+01,1.47e-06,2.71e+01,-7.20e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,4150,2.71e+01
15000,7500,750000,1.13e-06,9.93e+01,0.00e+00,9.93e+01,38.50,9.93e+01,9.93e+01,7.65e+01,1.00e+00,9.93e+01,1.13e-06,3.12e+01,-6.81e+01,0.00,0.00e+00,3.34e-09,0.00e+00,1.00e+00,4451,3.12e+01
16000,8000,800000,1.29e-06,9.92e+01,0.00e+00,9.92e+01,40.30,9.92e+01,9.92e+01,7.99e+01,1.00e+00,9.92e+01,1.29e-06,2.96e+01,-6.96e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,4753,2.96e+01
17000,8500,850000,1.40e-06,1.65e-01,0.00e+00,1.65e-01,37.60,1.65e-01,1.65e-01,1.23e-01,1.00e+00,1.65e-01,1.40e-06,3.14e+01,3.12e+01,0.00,0.00e+00,1.73e-09,0.00e+00,1.00e+00,5055,3.14e+01
18000,9000,900000,6.96e-10,1.54e+00,0.00e+00,1.54e+00,38.70,1.54e+00,1.54e+00,1.19e+00,1.00e+00,1.54e+00,6.96e-10,3.20e+01,3.05e+01,0.00,0.00e+00,3.55e-12,0.00e+00,1.00e+00,5357,3.20e+01
19000,9500,950000,4.91e-10,9.94e+01,0.00e+00,9.94e+01,37.00,9.94e+01,9.94e+01,7.35e+01,1.00e+00,9.94e+01,4.91e-10,3.21e+01,-6.73e+01,0.00,0.00e+00,1.15e-12,0.00e+00,1.00e+00,5659,3.21e+01
20000,10000,1000000,4.94e-10,9.90e+01,0.00e+00,9.90e+01,37.10,9.90e+01,9.90e+01,7.34e+01,1.00e+00,9.90e+01,4.94e-10,3.55e+01,-6.35e+01,0.00,0.00e+00,2.58e-12,0.00e+00,1.00e+00,5970,3.55e+01
21000,10500,1050000,5.11e-10,9.87e+01,0.00e+00,9.87e+01,37.80,9.87e+01,9.87e+01,7.47e+01,1.00e+00,9.87e+01,5.11e-10,3.68e+01,-6.19e+01,0.00,0.00e+00,4.77e-13,0.00e+00,1.00e+00,6272,3.68e+01
22000,11000,1100000,5.08e-10,6.86e-01,0.00e+00,6.86e-01,39.50,6.86e-01,6.86e-01,5.38e-01,1.00e+00,6.86e-01,5.08e-10,3.79e+01,3.72e+01,0.00,0.00e+00,1.29e-12,0.00e+00,1.00e+00,6579,3.79e+01
23000,11500,1150000,4.94e-10,1.56e-01,0.00e+00,1.56e-01,38.80,1.56e-01,1.56e-01,1.17e-01,1.00e+00,1.56e-01,4.94e-10,3.89e+01,3.87e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,6885,3.89e+01
24000,12000,1200000,4.92e-10,8.15e-02,0.00e+00,8.15e-02,38.40,8.15e-02,8.15e-02,6.12e-02,1.00e+00,8.15e-02,4.92e-10,3.80e+01,3.79e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,7199,3.80e+01
25000,12500,1250000,4.98e-10,6.28e-02,0.00e+00,6.28e-02,38.90,6.28e-02,6.28e-02,4.74e-02,1.00e+00,6.28e-02,4.98e-10,3.89e+01,3.88e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,7499,3.89e+01
26000,13000,1300000,4.85e-10,4.91e-02,0.00e+00,4.91e-02,37.20,4.91e-02,4.91e-02,3.70e-02,1.00e+00,4.91e-02,4.85e-10,3.51e+01,3.51e+01,0.00,0.00e+00,1.25e-12,0.00e+00,1.00e+00,7811,3.51e+01
