episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
15000,7500,750000,0.00e+00,0.00e+00,1.10e+00,1.10e+00,10.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.10e+00,1.10e+00,1.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.10e+00,1.10e+00,0.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,4486,3.30e+00
16000,8000,800000,0.00e+00,0.00e+00,1.33e+00,1.33e+00,9.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.33e+00,1.33e+00,0.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.33e+00,1.33e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,4781,4.00e+00
17000,8500,850000,0.00e+00,0.00e+00,1.27e+00,1.27e+00,11.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.27e+00,1.27e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.27e+00,1.27e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,5074,3.80e+00
18000,9000,900000,0.00e+00,0.00e+00,9.33e-01,9.33e-01,5.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.33e-01,9.33e-01,1.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.33e-01,9.33e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,5368,2.80e+00
19000,9500,950000,0.00e+00,0.00e+00,1.87e+00,1.87e+00,12.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.87e+00,1.87e+00,1.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.87e+00,1.87e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,5663,5.60e+00
20000,10000,1000000,0.00e+00,0.00e+00,1.27e+00,1.27e+00,11.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.27e+00,1.27e+00,4.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.27e+00,1.27e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,5956,3.80e+00
21000,10500,1050000,0.00e+00,0.00e+00,1.60e+00,1.60e+00,8.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.60e+00,1.60e+00,3.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.60e+00,1.60e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,6250,4.80e+00
22000,11000,1100000,0.00e+00,0.00e+00,1.67e+00,1.67e+00,12.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.67e+00,1.67e+00,0.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.67e+00,1.67e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,6543,5.00e+00
23000,11500,1150000,0.00e+00,0.00e+00,1.30e+00,1.30e+00,11.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.30e+00,1.30e+00,2.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.30e+00,1.30e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,6837,3.90e+00
24000,12000,1200000,0.00e+00,0.00e+00,1.73e+00,1.73e+00,11.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,0.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,7138,5.20e+00
25000,12500,1250000,0.00e+00,0.00e+00,1.50e+00,1.50e+00,14.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,7431,4.50e+00
26000,13000,1300000,0.00e+00,0.00e+00,1.73e+00,1.73e+00,14.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,2.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,0.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,7724,5.20e+00
27000,13500,1350000,0.00e+00,0.00e+00,1.10e+00,1.10e+00,10.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.10e+00,1.10e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.10e+00,1.10e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,8016,3.30e+00
28000,14000,1400000,0.00e+00,0.00e+00,1.80e+00,1.80e+00,14.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.80e+00,1.80e+00,1.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.80e+00,1.80e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,8307,5.40e+00
29000,14500,1450000,0.00e+00,0.00e+00,1.67e+00,1.67e+00,15.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.67e+00,1.67e+00,0.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.67e+00,1.67e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,8609,5.00e+00
30000,15000,1500000,0.00e+00,0.00e+00,1.27e+00,1.27e+00,9.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.27e+00,1.27e+00,1.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.27e+00,1.27e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,8906,3.80e+00
31000,15500,1550000,0.00e+00,0.00e+00,1.53e+00,1.53e+00,15.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.53e+00,1.53e+00,0.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.53e+00,1.53e+00,0.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,9198,4.60e+00
32000,16000,1600000,0.00e+00,0.00e+00,1.67e+00,1.67e+00,11.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.67e+00,1.67e+00,1.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.67e+00,1.67e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,9490,5.00e+00
