episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,29077,0.00e+00,0.00e+00,2.00e-01,2.00e-01,5.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,7.50e-02,7.50e-02,4.50,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,2.25e-01,2.25e-01,0.60,0.00e+00,0.00e+00,0.00e+00,4.00e-01,272,5.00e-01
2000,1000,54675,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.30,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.20,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,5.00e-01,5.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,566,5.00e-01
3000,1500,80322,0.00e+00,0.00e+00,4.00e-01,4.00e-01,7.70,0.00e+00,0.00e+00,0.00e+00,7.00e-01,0.00e+00,0.00e+00,4.50e-01,4.50e-01,3.70,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,1.27e+00,1.27e+00,0.20,0.00e+00,0.00e+00,0.00e+00,7.00e-01,882,2.12e+00
4000,2000,106116,0.00e+00,0.00e+00,5.00e-02,5.00e-02,2.10,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,2.25e-01,2.25e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,2.50e-02,2.50e-02,0.20,0.00e+00,0.00e+00,0.00e+00,3.00e-01,1257,3.00e-01
5000,2500,131420,0.00e+00,0.00e+00,5.00e-02,5.00e-02,3.60,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,2.00e-01,2.00e-01,1.10,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,4.75e-01,4.75e-01,0.10,0.00e+00,0.00e+00,0.00e+00,5.00e-01,1619,7.25e-01
6000,3000,155940,0.00e+00,0.00e+00,2.50e-01,2.50e-01,1.20,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,2.75e-01,2.75e-01,0.60,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,4.00e-01,4.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e-01,1945,9.25e-01
7000,3500,180852,0.00e+00,0.00e+00,1.50e-01,1.50e-01,2.50,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,7.50e-02,7.50e-02,0.40,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,7.00e-01,7.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,2233,9.25e-01
8000,4000,204882,0.00e+00,0.00e+00,2.50e-01,2.50e-01,2.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,3.75e-01,3.75e-01,0.80,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,1.00e+00,1.00e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,2491,1.62e+00
9000,4500,229500,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.40,0.00e+00,0.00e+00,0.00e+00,1.00e-01,0.00e+00,0.00e+00,5.00e-02,5.00e-02,0.20,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,1.25e-01,1.25e-01,0.50,0.00e+00,0.00e+00,0.00e+00,2.00e-01,2757,1.75e-01
10000,5000,253481,0.00e+00,0.00e+00,2.00e-01,2.00e-01,2.00,0.00e+00,0.00e+00,0.00e+00,1.00e-01,0.00e+00,0.00e+00,4.50e-01,4.50e-01,0.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,3.00e-01,3.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,3011,9.50e-01
