episode,step_train,step,A1_reward_env,A1_share,A2_reward_env,A2_share
86000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
87000,0,0,-8.333e-01,1.000e+00,-1.333e+00,1.000e+00
88000,0,0,-5.000e-01,1.000e+00,-2.000e+00,1.000e+00
89000,0,0,-6.667e-01,1.000e+00,-2.167e+00,1.000e+00
90000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
91000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
92000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
93000,0,0,-2.000e+00,1.000e+00,-1.500e+00,1.000e+00
94000,0,0,-3.000e+00,1.000e+00,0.000e+00,1.000e+00
95000,0,0,-1.333e+00,1.000e+00,-1.333e+00,1.000e+00
96000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
97000,0,0,-2.000e+00,1.000e+00,-2.000e+00,1.000e+00
98000,0,0,-5.000e-01,1.000e+00,-2.000e+00,1.000e+00
99000,0,0,-1.000e+00,1.000e+00,-2.000e+00,1.000e+00
100000,0,0,-2.000e+00,1.000e+00,-2.000e+00,1.000e+00
