episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,4.50e-01,4.50e-01,1.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.50e-01,4.50e-01,2.10,0.00e+00,0.00e+00,0.00e+00,186,9.00e-01
2000,1000,100000,0.00e+00,0.00e+00,9.50e-01,9.50e-01,2.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.50e-01,9.50e-01,1.00,0.00e+00,0.00e+00,0.00e+00,371,1.90e+00
3000,1500,150000,0.00e+00,0.00e+00,6.50e-01,6.50e-01,2.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.50e-01,6.50e-01,0.80,0.00e+00,0.00e+00,0.00e+00,552,1.30e+00
4000,2000,200000,0.00e+00,0.00e+00,5.00e-01,5.00e-01,3.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.00e-01,5.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,734,1.00e+00
5000,2500,250000,0.00e+00,0.00e+00,1.20e+00,1.20e+00,3.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.20e+00,1.20e+00,0.40,0.00e+00,0.00e+00,0.00e+00,915,2.40e+00
6000,3000,300000,0.00e+00,0.00e+00,1.10e+00,1.10e+00,4.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.10e+00,1.10e+00,0.50,0.00e+00,0.00e+00,0.00e+00,1101,2.20e+00
7000,3500,350000,0.00e+00,0.00e+00,1.15e+00,1.15e+00,5.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.15e+00,1.15e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1282,2.30e+00
8000,4000,400000,0.00e+00,0.00e+00,1.15e+00,1.15e+00,6.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.15e+00,1.15e+00,0.50,0.00e+00,0.00e+00,0.00e+00,1464,2.30e+00
9000,4500,450000,0.00e+00,0.00e+00,2.75e+00,2.75e+00,11.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.75e+00,2.75e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1653,5.50e+00
10000,5000,500000,0.00e+00,0.00e+00,3.30e+00,3.30e+00,12.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.30e+00,3.30e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1835,6.60e+00
11000,5500,550000,0.00e+00,0.00e+00,3.35e+00,3.35e+00,16.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.35e+00,3.35e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2027,6.70e+00
12000,6000,600000,0.00e+00,0.00e+00,4.65e+00,4.65e+00,20.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.65e+00,4.65e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2218,9.30e+00
13000,6500,650000,0.00e+00,0.00e+00,5.25e+00,5.25e+00,22.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.25e+00,5.25e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2411,1.05e+01
14000,7000,700000,0.00e+00,0.00e+00,6.45e+00,6.45e+00,24.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.45e+00,6.45e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2603,1.29e+01
15000,7500,750000,0.00e+00,0.00e+00,6.80e+00,6.80e+00,24.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.80e+00,6.80e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2811,1.36e+01
