episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,time,reward_env_total
16000,8000,800000,0.00e+00,0.00e+00,7.10e+00,7.10e+00,27.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.10e+00,7.10e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2998,1.42e+01
17000,8500,850000,0.00e+00,0.00e+00,9.10e+00,9.10e+00,32.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.10e+00,9.10e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3185,1.82e+01
18000,9000,900000,0.00e+00,0.00e+00,9.75e+00,9.75e+00,30.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.75e+00,9.75e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3373,1.95e+01
19000,9500,950000,0.00e+00,0.00e+00,9.85e+00,9.85e+00,32.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.85e+00,9.85e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3570,1.97e+01
20000,10000,1000000,0.00e+00,0.00e+00,9.95e+00,9.95e+00,32.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.95e+00,9.95e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3766,1.99e+01
21000,10500,1050000,0.00e+00,0.00e+00,1.03e+01,1.03e+01,30.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+01,1.03e+01,0.00,0.00e+00,0.00e+00,0.00e+00,3963,2.06e+01
22000,11000,1100000,0.00e+00,0.00e+00,1.02e+01,1.02e+01,30.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.02e+01,1.02e+01,0.00,0.00e+00,0.00e+00,0.00e+00,4159,2.03e+01
23000,11500,1150000,0.00e+00,0.00e+00,1.12e+01,1.12e+01,31.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.12e+01,1.12e+01,0.00,0.00e+00,0.00e+00,0.00e+00,4355,2.23e+01
24000,12000,1200000,0.00e+00,0.00e+00,1.19e+01,1.19e+01,32.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.19e+01,1.19e+01,0.00,0.00e+00,0.00e+00,0.00e+00,4552,2.39e+01
25000,12500,1250000,0.00e+00,0.00e+00,1.14e+01,1.14e+01,32.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.14e+01,1.14e+01,0.00,0.00e+00,0.00e+00,0.00e+00,4748,2.29e+01
26000,13000,1300000,0.00e+00,0.00e+00,1.23e+01,1.23e+01,31.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.23e+01,1.23e+01,0.00,0.00e+00,0.00e+00,0.00e+00,4945,2.47e+01
27000,13500,1350000,0.00e+00,0.00e+00,1.25e+01,1.25e+01,32.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.25e+01,1.25e+01,0.00,0.00e+00,0.00e+00,0.00e+00,5143,2.50e+01
28000,14000,1400000,0.00e+00,0.00e+00,1.38e+01,1.38e+01,31.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.38e+01,1.38e+01,0.00,0.00e+00,0.00e+00,0.00e+00,5349,2.77e+01
29000,14500,1450000,0.00e+00,0.00e+00,1.36e+01,1.36e+01,33.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.36e+01,1.36e+01,0.00,0.00e+00,0.00e+00,0.00e+00,5561,2.72e+01
30000,15000,1500000,0.00e+00,0.00e+00,1.38e+01,1.38e+01,33.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.38e+01,1.38e+01,0.00,0.00e+00,0.00e+00,0.00e+00,5772,2.76e+01
31000,15500,1550000,0.00e+00,0.00e+00,1.51e+01,1.51e+01,32.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.51e+01,1.51e+01,0.00,0.00e+00,0.00e+00,0.00e+00,5969,3.02e+01
32000,16000,1600000,0.00e+00,0.00e+00,1.49e+01,1.49e+01,34.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.49e+01,1.49e+01,0.00,0.00e+00,0.00e+00,0.00e+00,6166,2.99e+01
33000,16500,1650000,0.00e+00,0.00e+00,1.38e+01,1.38e+01,33.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.38e+01,1.38e+01,0.00,0.00e+00,0.00e+00,0.00e+00,6363,2.75e+01
34000,17000,1700000,0.00e+00,0.00e+00,1.49e+01,1.49e+01,34.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.49e+01,1.49e+01,0.00,0.00e+00,0.00e+00,0.00e+00,6561,2.98e+01
35000,17500,1750000,0.00e+00,0.00e+00,1.52e+01,1.52e+01,33.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.52e+01,1.52e+01,0.00,0.00e+00,0.00e+00,0.00e+00,6761,3.05e+01
36000,18000,1800000,0.00e+00,0.00e+00,1.64e+01,1.64e+01,34.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.64e+01,1.64e+01,0.00,0.00e+00,0.00e+00,0.00e+00,6958,3.27e+01
37000,18500,1850000,0.00e+00,0.00e+00,1.51e+01,1.51e+01,32.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.51e+01,1.51e+01,0.00,0.00e+00,0.00e+00,0.00e+00,7155,3.01e+01
38000,19000,1900000,0.00e+00,0.00e+00,1.58e+01,1.58e+01,34.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.58e+01,1.58e+01,0.00,0.00e+00,0.00e+00,0.00e+00,7365,3.15e+01
39000,19500,1950000,0.00e+00,0.00e+00,1.69e+01,1.69e+01,34.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.69e+01,1.69e+01,0.00,0.00e+00,0.00e+00,0.00e+00,7565,3.37e+01
40000,20000,2000000,0.00e+00,0.00e+00,1.54e+01,1.54e+01,32.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.54e+01,1.54e+01,0.00,0.00e+00,0.00e+00,0.00e+00,7768,3.08e+01
41000,20500,2050000,0.00e+00,0.00e+00,1.69e+01,1.69e+01,34.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.69e+01,1.69e+01,0.00,0.00e+00,0.00e+00,0.00e+00,7965,3.39e+01
42000,21000,2100000,0.00e+00,0.00e+00,1.61e+01,1.61e+01,33.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.61e+01,1.61e+01,0.00,0.00e+00,0.00e+00,0.00e+00,8162,3.22e+01
43000,21500,2150000,0.00e+00,0.00e+00,1.44e+01,1.44e+01,34.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.44e+01,1.44e+01,0.00,0.00e+00,0.00e+00,0.00e+00,8359,2.89e+01
44000,22000,2200000,0.00e+00,0.00e+00,1.66e+01,1.66e+01,32.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.66e+01,1.66e+01,0.00,0.00e+00,0.00e+00,0.00e+00,8555,3.31e+01
45000,22500,2250000,0.00e+00,0.00e+00,1.46e+01,1.46e+01,33.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.46e+01,1.46e+01,0.00,0.00e+00,0.00e+00,0.00e+00,8765,2.92e+01
46000,23000,2300000,0.00e+00,0.00e+00,1.48e+01,1.48e+01,32.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.48e+01,1.48e+01,0.00,0.00e+00,0.00e+00,0.00e+00,8957,2.97e+01
47000,23500,2350000,0.00e+00,0.00e+00,1.54e+01,1.54e+01,33.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.54e+01,1.54e+01,0.00,0.00e+00,0.00e+00,0.00e+00,9153,3.09e+01
48000,24000,2400000,0.00e+00,0.00e+00,1.69e+01,1.69e+01,34.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.69e+01,1.69e+01,0.00,0.00e+00,0.00e+00,0.00e+00,9344,3.39e+01
49000,24500,2450000,0.00e+00,0.00e+00,1.68e+01,1.68e+01,34.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.68e+01,1.68e+01,0.00,0.00e+00,0.00e+00,0.00e+00,9542,3.36e+01
50000,25000,2500000,0.00e+00,0.00e+00,1.52e+01,1.52e+01,32.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.52e+01,1.52e+01,0.00,0.00e+00,0.00e+00,0.00e+00,9717,3.05e+01
