episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,25108,0.00e+00,0.00e+00,7.00e-01,7.00e-01,0.30,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,3.00e-01,3.00e-01,6.40,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.90,0.00e+00,0.00e+00,0.00e+00,4.00e-01,268,1.00e+00
2000,1000,48991,0.00e+00,0.00e+00,4.00e-01,4.00e-01,0.20,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.30,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,5.00e-01,5.00e-01,0.30,0.00e+00,0.00e+00,0.00e+00,5.00e-01,558,9.00e-01
3000,1500,73952,0.00e+00,0.00e+00,3.00e-01,3.00e-01,2.40,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,3.00e-01,3.00e-01,2.60,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,5.50e-01,5.50e-01,0.00,0.00e+00,0.00e+00,0.00e+00,5.00e-01,870,1.15e+00
4000,2000,98374,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.50,0.00e+00,0.00e+00,0.00e+00,1.00e-01,0.00e+00,0.00e+00,5.00e-02,5.00e-02,2.20,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,3.75e-01,3.75e-01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e-01,1243,4.25e-01
5000,2500,122208,0.00e+00,0.00e+00,1.00e-01,1.00e-01,0.60,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,2.50e-02,2.50e-02,0.20,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,3.75e-01,3.75e-01,0.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,1602,5.00e-01
6000,3000,146434,0.00e+00,0.00e+00,3.00e-01,3.00e-01,0.20,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,2.00e-01,2.00e-01,3.00,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,4.75e-01,4.75e-01,0.10,0.00e+00,0.00e+00,0.00e+00,5.00e-01,1929,9.75e-01
7000,3500,171003,0.00e+00,0.00e+00,4.50e-01,4.50e-01,3.30,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,1.00e-01,1.00e-01,2.60,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,9.75e-01,9.75e-01,0.80,0.00e+00,0.00e+00,0.00e+00,4.00e-01,2218,1.52e+00
8000,4000,195719,0.00e+00,0.00e+00,1.50e-01,1.50e-01,0.80,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,7.50e-02,7.50e-02,2.60,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,7.00e-01,7.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,2476,9.25e-01
9000,4500,219455,0.00e+00,0.00e+00,5.00e-02,5.00e-02,1.60,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,2.25e-01,2.25e-01,1.30,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,5.25e-01,5.25e-01,0.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,2740,8.00e-01
10000,5000,242848,0.00e+00,0.00e+00,5.00e-01,5.00e-01,1.10,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,4.75e-01,4.75e-01,2.50,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,9.75e-01,9.75e-01,0.20,0.00e+00,0.00e+00,0.00e+00,6.00e-01,2994,1.95e+00
