episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
22000,11000,1100000,0.00e+00,0.00e+00,7.40e-01,7.40e-01,11.50,0.00e+00,0.00e+00,0.00e+00,1.20e-01,0.00e+00,0.00e+00,4.58e+00,4.58e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.20e-01,4368,5.32e+00
23000,11500,1150000,0.00e+00,0.00e+00,1.06e+00,1.06e+00,7.70,0.00e+00,0.00e+00,0.00e+00,3.20e-01,0.00e+00,0.00e+00,3.04e+00,3.04e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.20e-01,4566,4.10e+00
24000,12000,1200000,0.00e+00,0.00e+00,7.20e-01,7.20e-01,12.00,0.00e+00,0.00e+00,0.00e+00,1.60e-01,0.00e+00,0.00e+00,3.24e+00,3.24e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.60e-01,4764,3.96e+00
25000,12500,1250000,0.00e+00,0.00e+00,1.22e+00,1.22e+00,11.60,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,4.38e+00,4.38e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,4963,5.60e+00
26000,13000,1300000,0.00e+00,0.00e+00,1.46e+00,1.46e+00,9.90,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,3.70e+00,3.70e+00,0.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,5161,5.16e+00
27000,13500,1350000,0.00e+00,0.00e+00,1.86e+00,1.86e+00,10.70,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,4.24e+00,4.24e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.60e-01,5358,6.10e+00
28000,14000,1400000,0.00e+00,0.00e+00,6.00e-01,6.00e-01,6.10,0.00e+00,0.00e+00,0.00e+00,2.20e-01,0.00e+00,0.00e+00,2.40e+00,2.40e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2.20e-01,5557,3.00e+00
29000,14500,1450000,0.00e+00,0.00e+00,1.36e+00,1.36e+00,13.00,0.00e+00,0.00e+00,0.00e+00,2.40e-01,0.00e+00,0.00e+00,4.25e+00,4.25e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2.40e-01,5754,5.61e+00
30000,15000,1500000,0.00e+00,0.00e+00,5.60e-01,5.60e-01,9.50,0.00e+00,0.00e+00,0.00e+00,1.40e-01,0.00e+00,0.00e+00,4.57e+00,4.57e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.40e-01,5952,5.13e+00
31000,15500,1550000,0.00e+00,0.00e+00,9.40e-01,9.40e-01,13.70,0.00e+00,0.00e+00,0.00e+00,1.40e-01,0.00e+00,0.00e+00,6.84e+00,6.84e+00,0.10,0.00e+00,0.00e+00,0.00e+00,1.40e-01,6150,7.78e+00
32000,16000,1600000,0.00e+00,0.00e+00,1.58e+00,1.58e+00,10.80,0.00e+00,0.00e+00,0.00e+00,2.80e-01,0.00e+00,0.00e+00,5.10e+00,5.10e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2.80e-01,6348,6.68e+00
33000,16500,1650000,0.00e+00,0.00e+00,2.10e+00,2.10e+00,11.90,0.00e+00,0.00e+00,0.00e+00,3.80e-01,0.00e+00,0.00e+00,5.10e+00,5.10e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.80e-01,6547,7.20e+00
34000,17000,1700000,0.00e+00,0.00e+00,2.14e+00,2.14e+00,11.90,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,4.66e+00,4.66e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.60e-01,6745,6.80e+00
35000,17500,1750000,0.00e+00,0.00e+00,2.18e+00,2.18e+00,12.00,0.00e+00,0.00e+00,0.00e+00,3.80e-01,0.00e+00,0.00e+00,4.82e+00,4.82e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.80e-01,6943,7.00e+00
36000,18000,1800000,0.00e+00,0.00e+00,3.86e+00,3.86e+00,15.60,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,7.08e+00,7.08e+00,0.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,7142,1.09e+01
37000,18500,1850000,0.00e+00,0.00e+00,5.80e-01,5.80e-01,12.10,0.00e+00,0.00e+00,0.00e+00,2.60e-01,0.00e+00,0.00e+00,4.52e+00,4.52e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2.60e-01,7341,5.10e+00
38000,19000,1900000,0.00e+00,0.00e+00,2.30e+00,2.30e+00,12.10,0.00e+00,0.00e+00,0.00e+00,2.80e-01,0.00e+00,0.00e+00,6.16e+00,6.16e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2.80e-01,7540,8.46e+00
39000,19500,1950000,0.00e+00,0.00e+00,1.06e+00,1.06e+00,15.90,0.00e+00,0.00e+00,0.00e+00,1.20e-01,0.00e+00,0.00e+00,9.16e+00,9.16e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.20e-01,7739,1.02e+01
40000,20000,2000000,0.00e+00,0.00e+00,2.58e+00,2.58e+00,14.60,0.00e+00,0.00e+00,0.00e+00,3.40e-01,0.00e+00,0.00e+00,7.93e+00,7.93e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.40e-01,7937,1.05e+01
41000,20500,2050000,0.00e+00,0.00e+00,5.60e-01,5.60e-01,11.60,0.00e+00,0.00e+00,0.00e+00,1.80e-01,0.00e+00,0.00e+00,6.98e+00,6.98e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.80e-01,8136,7.54e+00
42000,21000,2100000,0.00e+00,0.00e+00,1.56e+00,1.56e+00,16.80,0.00e+00,0.00e+00,0.00e+00,1.80e-01,0.00e+00,0.00e+00,8.74e+00,8.74e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.80e-01,8336,1.03e+01
43000,21500,2150000,0.00e+00,0.00e+00,2.34e+00,2.34e+00,15.40,0.00e+00,0.00e+00,0.00e+00,3.40e-01,0.00e+00,0.00e+00,7.56e+00,7.56e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.40e-01,8534,9.90e+00
44000,22000,2200000,0.00e+00,0.00e+00,2.28e+00,2.28e+00,14.60,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,7.00e+00,7.00e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.60e-01,8733,9.28e+00
45000,22500,2250000,0.00e+00,0.00e+00,1.38e+00,1.38e+00,13.00,0.00e+00,0.00e+00,0.00e+00,2.40e-01,0.00e+00,0.00e+00,6.88e+00,6.88e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2.40e-01,8932,8.26e+00
46000,23000,2300000,0.00e+00,0.00e+00,1.62e+00,1.62e+00,15.70,0.00e+00,0.00e+00,0.00e+00,2.60e-01,0.00e+00,0.00e+00,9.64e+00,9.64e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2.60e-01,9132,1.13e+01
47000,23500,2350000,0.00e+00,0.00e+00,4.34e+00,4.34e+00,18.40,0.00e+00,0.00e+00,0.00e+00,3.80e-01,0.00e+00,0.00e+00,9.57e+00,9.57e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.80e-01,9332,1.39e+01
48000,24000,2400000,0.00e+00,0.00e+00,2.70e+00,2.70e+00,16.30,0.00e+00,0.00e+00,0.00e+00,2.20e-01,0.00e+00,0.00e+00,1.08e+01,1.08e+01,0.00,0.00e+00,0.00e+00,0.00e+00,2.20e-01,9531,1.35e+01
49000,24500,2450000,0.00e+00,0.00e+00,3.42e+00,3.42e+00,17.00,0.00e+00,0.00e+00,0.00e+00,3.20e-01,0.00e+00,0.00e+00,9.80e+00,9.80e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.20e-01,9730,1.32e+01
50000,25000,2500000,0.00e+00,0.00e+00,2.12e+00,2.12e+00,19.90,0.00e+00,0.00e+00,0.00e+00,1.20e-01,0.00e+00,0.00e+00,1.39e+01,1.39e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.20e-01,9929,1.60e+01
