episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
100,100,8000,0.000e+00,0.000e+00,-1.512e+00,-1.512e+00,8.751e-01,0.000e+00,0.000e+00,-1.500e+00,-1.500e+00,8.751e-01
200,200,16000,0.000e+00,0.000e+00,-1.530e+00,-1.530e+00,8.716e-01,0.000e+00,0.000e+00,-1.511e+00,-1.511e+00,8.716e-01
300,300,24000,0.000e+00,0.000e+00,-1.519e+00,-1.519e+00,8.700e-01,0.000e+00,0.000e+00,-1.530e+00,-1.530e+00,8.700e-01
400,400,32000,0.000e+00,0.000e+00,-1.560e+00,-1.560e+00,8.863e-01,0.000e+00,0.000e+00,-1.521e+00,-1.521e+00,8.863e-01
500,500,40000,0.000e+00,0.000e+00,-1.599e+00,-1.599e+00,8.841e-01,0.000e+00,0.000e+00,-1.520e+00,-1.520e+00,8.841e-01
600,600,48000,0.000e+00,0.000e+00,-1.588e+00,-1.588e+00,8.729e-01,0.000e+00,0.000e+00,-1.572e+00,-1.572e+00,8.729e-01
700,700,56000,0.000e+00,0.000e+00,-1.636e+00,-1.636e+00,8.776e-01,0.000e+00,0.000e+00,-1.589e+00,-1.589e+00,8.776e-01
800,800,64000,0.000e+00,0.000e+00,-1.639e+00,-1.639e+00,8.665e-01,0.000e+00,0.000e+00,-1.648e+00,-1.648e+00,8.665e-01
900,900,72000,0.000e+00,0.000e+00,-1.695e+00,-1.695e+00,8.935e-01,0.000e+00,0.000e+00,-1.657e+00,-1.657e+00,8.935e-01
1000,1000,80000,0.000e+00,0.000e+00,-1.723e+00,-1.723e+00,8.983e-01,0.000e+00,0.000e+00,-1.677e+00,-1.677e+00,8.983e-01
1100,1100,88000,0.000e+00,0.000e+00,-1.776e+00,-1.776e+00,9.027e-01,0.000e+00,0.000e+00,-1.736e+00,-1.736e+00,9.027e-01
1200,1200,96000,0.000e+00,0.000e+00,-1.818e+00,-1.818e+00,9.004e-01,0.000e+00,0.000e+00,-1.773e+00,-1.773e+00,9.004e-01
1300,1300,104000,0.000e+00,0.000e+00,-1.834e+00,-1.834e+00,9.207e-01,0.000e+00,0.000e+00,-1.859e+00,-1.859e+00,9.207e-01
1400,1400,112000,0.000e+00,0.000e+00,-1.873e+00,-1.873e+00,9.395e-01,0.000e+00,0.000e+00,-1.895e+00,-1.895e+00,9.395e-01
1500,1500,120000,0.000e+00,0.000e+00,-1.939e+00,-1.939e+00,9.184e-01,0.000e+00,0.000e+00,-1.901e+00,-1.901e+00,9.184e-01
1600,1600,128000,0.000e+00,0.000e+00,-1.949e+00,-1.949e+00,9.379e-01,0.000e+00,0.000e+00,-1.936e+00,-1.936e+00,9.379e-01
1700,1700,136000,0.000e+00,0.000e+00,-1.972e+00,-1.972e+00,9.528e-01,0.000e+00,0.000e+00,-1.948e+00,-1.948e+00,9.528e-01
1800,1800,144000,0.000e+00,0.000e+00,-1.988e+00,-1.988e+00,9.534e-01,0.000e+00,0.000e+00,-1.952e+00,-1.952e+00,9.534e-01
1900,1900,152000,0.000e+00,0.000e+00,-1.976e+00,-1.976e+00,9.616e-01,0.000e+00,0.000e+00,-1.964e+00,-1.964e+00,9.616e-01
2000,2000,160000,0.000e+00,0.000e+00,-1.982e+00,-1.982e+00,9.611e-01,0.000e+00,0.000e+00,-1.979e+00,-1.979e+00,9.611e-01
2100,2100,168000,0.000e+00,0.000e+00,-1.981e+00,-1.981e+00,9.527e-01,0.000e+00,0.000e+00,-1.982e+00,-1.982e+00,9.527e-01
2200,2200,176000,0.000e+00,0.000e+00,-1.987e+00,-1.987e+00,9.022e-01,0.000e+00,0.000e+00,-1.984e+00,-1.984e+00,9.022e-01
2300,2300,184000,0.000e+00,0.000e+00,-1.989e+00,-1.989e+00,8.720e-01,0.000e+00,0.000e+00,-1.989e+00,-1.989e+00,8.720e-01
2400,2400,192000,0.000e+00,0.000e+00,-1.986e+00,-1.986e+00,7.877e-01,0.000e+00,0.000e+00,-1.992e+00,-1.992e+00,7.877e-01
2500,2500,200000,0.000e+00,0.000e+00,-1.986e+00,-1.986e+00,6.436e-01,0.000e+00,0.000e+00,-1.989e+00,-1.989e+00,6.436e-01
2600,2600,208000,0.000e+00,0.000e+00,-1.987e+00,-1.987e+00,5.386e-01,0.000e+00,0.000e+00,-1.995e+00,-1.995e+00,5.386e-01
2700,2700,216000,0.000e+00,0.000e+00,-1.992e+00,-1.992e+00,2.428e-01,0.000e+00,0.000e+00,-1.995e+00,-1.995e+00,2.428e-01
2800,2800,224000,0.000e+00,0.000e+00,-1.994e+00,-1.994e+00,1.485e-01,0.000e+00,0.000e+00,-1.997e+00,-1.997e+00,1.485e-01
2900,2900,232000,0.000e+00,0.000e+00,-1.998e+00,-1.998e+00,1.494e-01,0.000e+00,0.000e+00,-1.994e+00,-1.994e+00,1.494e-01
3000,3000,240000,0.000e+00,0.000e+00,-1.990e+00,-1.990e+00,1.392e-01,0.000e+00,0.000e+00,-2.002e+00,-2.002e+00,1.392e-01
3100,3100,248000,0.000e+00,0.000e+00,-1.985e+00,-1.985e+00,1.468e-01,0.000e+00,0.000e+00,-1.999e+00,-1.999e+00,1.468e-01
3200,3200,256000,0.000e+00,0.000e+00,-1.979e+00,-1.979e+00,1.644e-01,0.000e+00,0.000e+00,-1.997e+00,-1.997e+00,1.644e-01
3300,3300,264000,0.000e+00,0.000e+00,-1.947e+00,-1.947e+00,1.821e-01,0.000e+00,0.000e+00,-2.000e+00,-2.000e+00,1.821e-01
3400,3400,272000,0.000e+00,0.000e+00,-1.873e+00,-1.873e+00,2.527e-01,0.000e+00,0.000e+00,-1.960e+00,-1.960e+00,2.527e-01
3500,3500,280000,0.000e+00,0.000e+00,-1.818e+00,-1.818e+00,4.708e-01,0.000e+00,0.000e+00,-1.842e+00,-1.842e+00,4.708e-01
3600,3600,288000,0.000e+00,0.000e+00,-1.745e+00,-1.745e+00,4.069e-01,0.000e+00,0.000e+00,-1.819e+00,-1.819e+00,4.069e-01
3700,3700,296000,0.000e+00,0.000e+00,-1.647e+00,-1.647e+00,5.106e-01,0.000e+00,0.000e+00,-1.667e+00,-1.667e+00,5.106e-01
3800,3800,304000,0.000e+00,0.000e+00,-1.423e+00,-1.423e+00,4.206e-01,0.000e+00,0.000e+00,-1.530e+00,-1.530e+00,4.206e-01
3900,3900,312000,0.000e+00,0.000e+00,-1.067e+00,-1.067e+00,2.997e-01,0.000e+00,0.000e+00,-1.412e+00,-1.412e+00,2.997e-01
4000,4000,320000,0.000e+00,0.000e+00,-9.834e-01,-9.834e-01,2.078e-01,0.000e+00,0.000e+00,-1.196e+00,-1.196e+00,2.078e-01
4100,4100,328000,0.000e+00,0.000e+00,-1.002e+00,-1.002e+00,1.563e-01,0.000e+00,0.000e+00,-1.037e+00,-1.037e+00,1.563e-01
4200,4200,336000,0.000e+00,0.000e+00,-1.002e+00,-1.002e+00,1.560e-01,0.000e+00,0.000e+00,-1.019e+00,-1.019e+00,1.560e-01
4300,4300,344000,0.000e+00,0.000e+00,-1.004e+00,-1.004e+00,1.578e-01,0.000e+00,0.000e+00,-1.011e+00,-1.011e+00,1.578e-01
4400,4400,352000,0.000e+00,0.000e+00,-1.004e+00,-1.004e+00,1.885e-01,0.000e+00,0.000e+00,-1.010e+00,-1.010e+00,1.885e-01
4500,4500,360000,0.000e+00,0.000e+00,-1.001e+00,-1.001e+00,2.020e-01,0.000e+00,0.000e+00,-1.008e+00,-1.008e+00,2.020e-01
4600,4600,368000,0.000e+00,0.000e+00,-1.001e+00,-1.001e+00,2.538e-01,0.000e+00,0.000e+00,-1.009e+00,-1.009e+00,2.538e-01
4700,4700,376000,0.000e+00,0.000e+00,-1.003e+00,-1.003e+00,2.623e-01,0.000e+00,0.000e+00,-1.003e+00,-1.003e+00,2.623e-01
4800,4800,384000,0.000e+00,0.000e+00,-1.004e+00,-1.004e+00,2.284e-01,0.000e+00,0.000e+00,-1.004e+00,-1.004e+00,2.284e-01
4900,4900,392000,0.000e+00,0.000e+00,-1.003e+00,-1.003e+00,2.468e-01,0.000e+00,0.000e+00,-1.004e+00,-1.004e+00,2.468e-01
5000,5000,400000,0.000e+00,0.000e+00,-1.005e+00,-1.005e+00,2.791e-01,0.000e+00,0.000e+00,-1.000e+00,-1.000e+00,2.791e-01
5100,5100,408000,0.000e+00,0.000e+00,-1.003e+00,-1.003e+00,3.082e-01,0.000e+00,0.000e+00,-1.004e+00,-1.004e+00,3.082e-01
5200,5200,416000,0.000e+00,0.000e+00,-1.005e+00,-1.005e+00,2.898e-01,0.000e+00,0.000e+00,-1.001e+00,-1.001e+00,2.898e-01
