episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,6.33e-01,6.33e-01,5.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,6.33e-01,6.33e-01,2.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,6.33e-01,6.33e-01,0.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,320,1.90e+00
2000,1000,100000,0.00e+00,0.00e+00,1.23e+00,1.23e+00,5.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.23e+00,1.23e+00,4.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.23e+00,1.23e+00,0.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,649,3.70e+00
3000,1500,150000,0.00e+00,0.00e+00,1.33e+00,1.33e+00,5.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.33e+00,1.33e+00,5.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.33e+00,1.33e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,950,4.00e+00
4000,2000,200000,0.00e+00,0.00e+00,1.63e+00,1.63e+00,7.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.63e+00,1.63e+00,5.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.63e+00,1.63e+00,0.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1247,4.90e+00
5000,2500,250000,0.00e+00,0.00e+00,1.53e+00,1.53e+00,9.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.53e+00,1.53e+00,11.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.53e+00,1.53e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1552,4.60e+00
6000,3000,300000,0.00e+00,0.00e+00,9.00e-01,9.00e-01,6.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.00e-01,9.00e-01,7.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.00e-01,9.00e-01,0.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1847,2.70e+00
7000,3500,350000,0.00e+00,0.00e+00,1.50e+00,1.50e+00,9.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,8.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2142,4.50e+00
8000,4000,400000,0.00e+00,0.00e+00,1.70e+00,1.70e+00,8.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.70e+00,1.70e+00,10.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.70e+00,1.70e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2438,5.10e+00
9000,4500,450000,0.00e+00,0.00e+00,1.73e+00,1.73e+00,10.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,10.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2732,5.20e+00
10000,5000,500000,0.00e+00,0.00e+00,1.83e+00,1.83e+00,11.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.83e+00,1.83e+00,9.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.83e+00,1.83e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,3026,5.50e+00
11000,5500,550000,0.00e+00,0.00e+00,1.87e+00,1.87e+00,12.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.87e+00,1.87e+00,9.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.87e+00,1.87e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,3322,5.60e+00
12000,6000,600000,0.00e+00,0.00e+00,1.50e+00,1.50e+00,10.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,7.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,3617,4.50e+00
13000,6500,650000,0.00e+00,0.00e+00,1.73e+00,1.73e+00,10.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,10.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,3912,5.20e+00
14000,7000,700000,0.00e+00,0.00e+00,1.83e+00,1.83e+00,10.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.83e+00,1.83e+00,13.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.83e+00,1.83e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,4207,5.50e+00
15000,7500,750000,0.00e+00,0.00e+00,2.03e+00,2.03e+00,11.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.03e+00,2.03e+00,12.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.03e+00,2.03e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,4502,6.10e+00
16000,8000,800000,0.00e+00,0.00e+00,2.10e+00,2.10e+00,10.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.10e+00,2.10e+00,15.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.10e+00,2.10e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,4797,6.30e+00
17000,8500,850000,0.00e+00,0.00e+00,2.10e+00,2.10e+00,10.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.10e+00,2.10e+00,15.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.10e+00,2.10e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,5092,6.30e+00
18000,9000,900000,0.00e+00,0.00e+00,1.83e+00,1.83e+00,13.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.83e+00,1.83e+00,13.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.83e+00,1.83e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,5387,5.50e+00
19000,9500,950000,0.00e+00,0.00e+00,2.47e+00,2.47e+00,14.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.47e+00,2.47e+00,14.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.47e+00,2.47e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,5683,7.40e+00
20000,10000,1000000,0.00e+00,0.00e+00,2.07e+00,2.07e+00,13.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.07e+00,2.07e+00,10.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.07e+00,2.07e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,5978,6.20e+00
21000,10500,1050000,0.00e+00,0.00e+00,2.33e+00,2.33e+00,13.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.33e+00,2.33e+00,10.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.33e+00,2.33e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,6271,7.00e+00
22000,11000,1100000,0.00e+00,0.00e+00,2.20e+00,2.20e+00,14.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.20e+00,2.20e+00,10.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.20e+00,2.20e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,6566,6.60e+00
23000,11500,1150000,0.00e+00,0.00e+00,2.20e+00,2.20e+00,13.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.20e+00,2.20e+00,13.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.20e+00,2.20e+00,0.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,6861,6.60e+00
24000,12000,1200000,0.00e+00,0.00e+00,2.60e+00,2.60e+00,13.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.60e+00,2.60e+00,13.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.60e+00,2.60e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,7163,7.80e+00
25000,12500,1250000,0.00e+00,0.00e+00,2.17e+00,2.17e+00,8.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.17e+00,2.17e+00,10.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.17e+00,2.17e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,7457,6.50e+00
26000,13000,1300000,0.00e+00,0.00e+00,1.93e+00,1.93e+00,10.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.93e+00,1.93e+00,12.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.93e+00,1.93e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,7752,5.80e+00
27000,13500,1350000,0.00e+00,0.00e+00,2.30e+00,2.30e+00,12.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.30e+00,2.30e+00,14.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.30e+00,2.30e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,8045,6.90e+00
28000,14000,1400000,0.00e+00,0.00e+00,1.67e+00,1.67e+00,10.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.67e+00,1.67e+00,13.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.67e+00,1.67e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,8338,5.00e+00
29000,14500,1450000,0.00e+00,0.00e+00,2.37e+00,2.37e+00,12.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.37e+00,2.37e+00,10.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.37e+00,2.37e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,8640,7.10e+00
30000,15000,1500000,0.00e+00,0.00e+00,2.10e+00,2.10e+00,8.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.10e+00,2.10e+00,16.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.10e+00,2.10e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,8938,6.30e+00
31000,15500,1550000,0.00e+00,0.00e+00,2.33e+00,2.33e+00,10.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.33e+00,2.33e+00,15.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.33e+00,2.33e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,9232,7.00e+00
32000,16000,1600000,0.00e+00,0.00e+00,2.50e+00,2.50e+00,12.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.50e+00,2.50e+00,13.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.50e+00,2.50e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,9524,7.50e+00
33000,16500,1650000,0.00e+00,0.00e+00,2.43e+00,2.43e+00,13.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.43e+00,2.43e+00,14.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.43e+00,2.43e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,9818,7.30e+00
34000,17000,1700000,0.00e+00,0.00e+00,2.70e+00,2.70e+00,13.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.70e+00,2.70e+00,12.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.70e+00,2.70e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,10118,8.10e+00
35000,17500,1750000,0.00e+00,0.00e+00,2.83e+00,2.83e+00,13.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.83e+00,2.83e+00,15.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.83e+00,2.83e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,10413,8.50e+00
36000,18000,1800000,0.00e+00,0.00e+00,2.70e+00,2.70e+00,17.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.70e+00,2.70e+00,13.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.70e+00,2.70e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,10708,8.10e+00
37000,18500,1850000,0.00e+00,0.00e+00,2.87e+00,2.87e+00,15.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.87e+00,2.87e+00,13.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.87e+00,2.87e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,11002,8.60e+00
38000,19000,1900000,0.00e+00,0.00e+00,2.83e+00,2.83e+00,13.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.83e+00,2.83e+00,14.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.83e+00,2.83e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,11296,8.50e+00
39000,19500,1950000,0.00e+00,0.00e+00,2.57e+00,2.57e+00,12.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.57e+00,2.57e+00,14.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.57e+00,2.57e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,11603,7.70e+00
40000,20000,2000000,0.00e+00,0.00e+00,2.53e+00,2.53e+00,14.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.53e+00,2.53e+00,11.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.53e+00,2.53e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,11895,7.60e+00
41000,20500,2050000,0.00e+00,0.00e+00,3.33e+00,3.33e+00,15.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,3.33e+00,3.33e+00,14.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,3.33e+00,3.33e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,12186,1.00e+01
42000,21000,2100000,0.00e+00,0.00e+00,2.80e+00,2.80e+00,13.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.80e+00,2.80e+00,13.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.80e+00,2.80e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,12478,8.40e+00
43000,21500,2150000,0.00e+00,0.00e+00,3.20e+00,3.20e+00,15.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,3.20e+00,3.20e+00,14.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,3.20e+00,3.20e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,12761,9.60e+00
44000,22000,2200000,0.00e+00,0.00e+00,2.60e+00,2.60e+00,12.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.60e+00,2.60e+00,15.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.60e+00,2.60e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,13053,7.80e+00
45000,22500,2250000,0.00e+00,0.00e+00,3.30e+00,3.30e+00,14.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,3.30e+00,3.30e+00,14.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,3.30e+00,3.30e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,13346,9.90e+00
