episode,step_train,step,A1_reward_env,A1_share,A2_reward_env,A2_share
58000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
59000,0,0,-8.667e-01,3.000e-01,-1.467e+00,3.000e-01
60000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
61000,0,0,-1.083e+00,4.000e-01,-1.083e+00,4.000e-01
62000,0,0,-8.667e-01,3.000e-01,-1.467e+00,3.000e-01
63000,0,0,-9.333e-01,3.167e-01,-1.233e+00,3.167e-01
64000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
65000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
66000,0,0,-1.000e+00,2.833e-01,-1.000e+00,2.833e-01
67000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
68000,0,0,-1.467e+00,3.000e-01,-8.667e-01,3.000e-01
69000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
70000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
71000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
72000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
73000,0,0,-1.000e+00,2.833e-01,-1.000e+00,2.833e-01
74000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
75000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
76000,0,0,-1.183e+00,3.167e-01,-9.833e-01,3.167e-01
77000,0,0,-1.000e+00,2.833e-01,-1.000e+00,2.833e-01
78000,0,0,-1.000e+00,3.167e-01,-1.000e+00,3.167e-01
79000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
80000,0,0,-1.000e+00,3.167e-01,-1.000e+00,3.167e-01
81000,0,0,-1.000e+00,3.167e-01,-1.000e+00,3.167e-01
82000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
83000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
84000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
85000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
86000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
87000,0,0,-1.000e+00,3.167e-01,-1.000e+00,3.167e-01
88000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
89000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
90000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
91000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
92000,0,0,-1.000e+00,3.167e-01,-1.000e+00,3.167e-01
93000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
94000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
95000,0,0,-1.283e+00,2.667e-01,-8.833e-01,2.667e-01
96000,0,0,-1.000e+00,3.000e-01,-1.000e+00,3.000e-01
97000,0,0,-1.000e+00,3.167e-01,-1.000e+00,3.167e-01
98000,0,0,-1.000e+00,3.500e-01,-1.000e+00,3.500e-01
