episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,2.20e-01,2.20e-01,3.70,0.00e+00,0.00e+00,0.00e+00,2.20e-01,0.00e+00,0.00e+00,5.64e-01,5.64e-01,1.40,0.00e+00,0.00e+00,0.00e+00,2.20e-01,209,7.84e-01
2000,1000,100000,0.00e+00,0.00e+00,3.00e-01,3.00e-01,2.20,0.00e+00,0.00e+00,0.00e+00,3.40e-01,0.00e+00,0.00e+00,5.00e-01,5.00e-01,0.70,0.00e+00,0.00e+00,0.00e+00,3.40e-01,416,8.00e-01
3000,1500,150000,0.00e+00,0.00e+00,3.60e-01,3.60e-01,3.70,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,1.24e+00,1.24e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.60e-01,623,1.60e+00
4000,2000,200000,0.00e+00,0.00e+00,2.60e-01,2.60e-01,2.00,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,8.36e-01,8.36e-01,0.80,0.00e+00,0.00e+00,0.00e+00,3.60e-01,830,1.10e+00
5000,2500,250000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,3.50,0.00e+00,0.00e+00,0.00e+00,3.80e-01,0.00e+00,0.00e+00,6.16e-01,6.16e-01,0.50,0.00e+00,0.00e+00,0.00e+00,3.80e-01,1029,1.02e+00
6000,3000,300000,0.00e+00,0.00e+00,6.20e-01,6.20e-01,2.80,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,9.60e-01,9.60e-01,0.20,0.00e+00,0.00e+00,0.00e+00,3.60e-01,1225,1.58e+00
7000,3500,350000,0.00e+00,0.00e+00,7.40e-01,7.40e-01,2.30,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,1.11e+00,1.11e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.00e-01,1419,1.85e+00
8000,4000,400000,0.00e+00,0.00e+00,1.20e+00,1.20e+00,3.00,0.00e+00,0.00e+00,0.00e+00,3.40e-01,0.00e+00,0.00e+00,1.39e+00,1.39e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.40e-01,1614,2.59e+00
9000,4500,450000,0.00e+00,0.00e+00,1.80e-01,1.80e-01,2.40,0.00e+00,0.00e+00,0.00e+00,4.20e-01,0.00e+00,0.00e+00,1.04e+00,1.04e+00,0.50,0.00e+00,0.00e+00,0.00e+00,4.20e-01,1809,1.22e+00
10000,5000,500000,0.00e+00,0.00e+00,6.20e-01,6.20e-01,3.90,0.00e+00,0.00e+00,0.00e+00,3.20e-01,0.00e+00,0.00e+00,1.53e+00,1.53e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.20e-01,2004,2.15e+00
11000,5500,550000,0.00e+00,0.00e+00,6.00e-01,6.00e-01,3.90,0.00e+00,0.00e+00,0.00e+00,2.20e-01,0.00e+00,0.00e+00,1.30e+00,1.30e+00,0.40,0.00e+00,0.00e+00,0.00e+00,2.20e-01,2200,1.90e+00
12000,6000,600000,0.00e+00,0.00e+00,6.20e-01,6.20e-01,4.60,0.00e+00,0.00e+00,0.00e+00,2.20e-01,0.00e+00,0.00e+00,1.71e+00,1.71e+00,0.30,0.00e+00,0.00e+00,0.00e+00,2.20e-01,2395,2.33e+00
13000,6500,650000,0.00e+00,0.00e+00,6.20e-01,6.20e-01,2.90,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,9.08e-01,9.08e-01,0.70,0.00e+00,0.00e+00,0.00e+00,3.60e-01,2590,1.53e+00
14000,7000,700000,0.00e+00,0.00e+00,6.00e-01,6.00e-01,3.30,0.00e+00,0.00e+00,0.00e+00,4.20e-01,0.00e+00,0.00e+00,8.60e-01,8.60e-01,0.30,0.00e+00,0.00e+00,0.00e+00,4.20e-01,2785,1.46e+00
15000,7500,750000,0.00e+00,0.00e+00,4.60e-01,4.60e-01,3.60,0.00e+00,0.00e+00,0.00e+00,1.60e-01,0.00e+00,0.00e+00,1.45e+00,1.45e+00,0.60,0.00e+00,0.00e+00,0.00e+00,1.60e-01,2981,1.91e+00
