episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
100,100,8000,0.000e+00,0.000e+00,-1.459e+00,-1.459e+00,8.807e-01,0.000e+00,0.000e+00,-1.518e+00,-1.518e+00,8.807e-01
200,200,16000,0.000e+00,0.000e+00,-1.458e+00,-1.458e+00,8.881e-01,0.000e+00,0.000e+00,-1.530e+00,-1.530e+00,8.881e-01
300,300,24000,0.000e+00,0.000e+00,-1.454e+00,-1.454e+00,8.952e-01,0.000e+00,0.000e+00,-1.548e+00,-1.548e+00,8.952e-01
400,400,32000,0.000e+00,0.000e+00,-1.498e+00,-1.498e+00,8.956e-01,0.000e+00,0.000e+00,-1.545e+00,-1.545e+00,8.956e-01
500,500,40000,0.000e+00,0.000e+00,-1.515e+00,-1.515e+00,8.832e-01,0.000e+00,0.000e+00,-1.537e+00,-1.537e+00,8.832e-01
600,600,48000,0.000e+00,0.000e+00,-1.532e+00,-1.532e+00,8.919e-01,0.000e+00,0.000e+00,-1.567e+00,-1.567e+00,8.919e-01
700,700,56000,0.000e+00,0.000e+00,-1.536e+00,-1.536e+00,8.889e-01,0.000e+00,0.000e+00,-1.577e+00,-1.577e+00,8.889e-01
800,800,64000,0.000e+00,0.000e+00,-1.577e+00,-1.577e+00,8.986e-01,0.000e+00,0.000e+00,-1.585e+00,-1.585e+00,8.986e-01
900,900,72000,0.000e+00,0.000e+00,-1.572e+00,-1.572e+00,8.873e-01,0.000e+00,0.000e+00,-1.621e+00,-1.621e+00,8.873e-01
1000,1000,80000,0.000e+00,0.000e+00,-1.578e+00,-1.578e+00,8.918e-01,0.000e+00,0.000e+00,-1.675e+00,-1.675e+00,8.918e-01
1100,1100,88000,0.000e+00,0.000e+00,-1.582e+00,-1.582e+00,9.113e-01,0.000e+00,0.000e+00,-1.716e+00,-1.716e+00,9.113e-01
1200,1200,96000,0.000e+00,0.000e+00,-1.620e+00,-1.620e+00,8.970e-01,0.000e+00,0.000e+00,-1.745e+00,-1.745e+00,8.970e-01
1300,1300,104000,0.000e+00,0.000e+00,-1.608e+00,-1.608e+00,9.168e-01,0.000e+00,0.000e+00,-1.816e+00,-1.816e+00,9.168e-01
1400,1400,112000,0.000e+00,0.000e+00,-1.659e+00,-1.659e+00,9.109e-01,0.000e+00,0.000e+00,-1.822e+00,-1.822e+00,9.109e-01
1500,1500,120000,0.000e+00,0.000e+00,-1.677e+00,-1.677e+00,9.448e-01,0.000e+00,0.000e+00,-1.897e+00,-1.897e+00,9.448e-01
1600,1600,128000,0.000e+00,0.000e+00,-1.684e+00,-1.684e+00,9.298e-01,0.000e+00,0.000e+00,-1.958e+00,-1.958e+00,9.298e-01
1700,1700,136000,0.000e+00,0.000e+00,-1.774e+00,-1.774e+00,9.500e-01,0.000e+00,0.000e+00,-1.962e+00,-1.962e+00,9.500e-01
1800,1800,144000,0.000e+00,0.000e+00,-1.768e+00,-1.768e+00,9.504e-01,0.000e+00,0.000e+00,-1.983e+00,-1.983e+00,9.504e-01
1900,1900,152000,0.000e+00,0.000e+00,-1.807e+00,-1.807e+00,9.522e-01,0.000e+00,0.000e+00,-2.017e+00,-2.017e+00,9.522e-01
2000,2000,160000,0.000e+00,0.000e+00,-1.879e+00,-1.879e+00,9.692e-01,0.000e+00,0.000e+00,-1.993e+00,-1.993e+00,9.692e-01
2100,2100,168000,0.000e+00,0.000e+00,-1.904e+00,-1.904e+00,9.736e-01,0.000e+00,0.000e+00,-2.006e+00,-2.006e+00,9.736e-01
2200,2200,176000,0.000e+00,0.000e+00,-1.938e+00,-1.938e+00,9.734e-01,0.000e+00,0.000e+00,-1.998e+00,-1.998e+00,9.734e-01
2300,2300,184000,0.000e+00,0.000e+00,-1.960e+00,-1.960e+00,9.742e-01,0.000e+00,0.000e+00,-1.990e+00,-1.990e+00,9.742e-01
2400,2400,192000,0.000e+00,0.000e+00,-1.978e+00,-1.978e+00,9.716e-01,0.000e+00,0.000e+00,-1.980e+00,-1.980e+00,9.716e-01
2500,2500,200000,0.000e+00,0.000e+00,-1.976e+00,-1.976e+00,9.612e-01,0.000e+00,0.000e+00,-1.983e+00,-1.983e+00,9.612e-01
2600,2600,208000,0.000e+00,0.000e+00,-1.982e+00,-1.982e+00,9.743e-01,0.000e+00,0.000e+00,-1.986e+00,-1.986e+00,9.743e-01
2700,2700,216000,0.000e+00,0.000e+00,-1.982e+00,-1.982e+00,9.694e-01,0.000e+00,0.000e+00,-1.990e+00,-1.990e+00,9.694e-01
2800,2800,224000,0.000e+00,0.000e+00,-1.984e+00,-1.984e+00,9.646e-01,0.000e+00,0.000e+00,-1.992e+00,-1.992e+00,9.646e-01
2900,2900,232000,0.000e+00,0.000e+00,-1.992e+00,-1.992e+00,9.640e-01,0.000e+00,0.000e+00,-1.988e+00,-1.988e+00,9.640e-01
3000,3000,240000,0.000e+00,0.000e+00,-1.989e+00,-1.989e+00,9.552e-01,0.000e+00,0.000e+00,-1.989e+00,-1.989e+00,9.552e-01
3100,3100,248000,0.000e+00,0.000e+00,-1.998e+00,-1.998e+00,9.269e-01,0.000e+00,0.000e+00,-1.992e+00,-1.992e+00,9.269e-01
3200,3200,256000,0.000e+00,0.000e+00,-1.988e+00,-1.988e+00,8.873e-01,0.000e+00,0.000e+00,-1.990e+00,-1.990e+00,8.873e-01
3300,3300,264000,0.000e+00,0.000e+00,-1.990e+00,-1.990e+00,8.949e-01,0.000e+00,0.000e+00,-1.993e+00,-1.993e+00,8.949e-01
3400,3400,272000,0.000e+00,0.000e+00,-1.993e+00,-1.993e+00,8.322e-01,0.000e+00,0.000e+00,-1.989e+00,-1.989e+00,8.322e-01
3500,3500,280000,0.000e+00,0.000e+00,-1.988e+00,-1.988e+00,8.369e-01,0.000e+00,0.000e+00,-1.994e+00,-1.994e+00,8.369e-01
3600,3600,288000,0.000e+00,0.000e+00,-1.994e+00,-1.994e+00,9.300e-01,0.000e+00,0.000e+00,-1.994e+00,-1.994e+00,9.300e-01
