episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,2.60e-01,2.60e-01,6.50,0.00e+00,0.00e+00,0.00e+00,7.20e-01,0.00e+00,0.00e+00,9.24e-01,9.24e-01,4.10,0.00e+00,0.00e+00,0.00e+00,7.20e-01,0.00e+00,0.00e+00,1.02e+00,1.02e+00,1.60,0.00e+00,0.00e+00,0.00e+00,7.20e-01,308,2.21e+00
2000,1000,100000,0.00e+00,0.00e+00,4.40e-01,4.40e-01,0.90,0.00e+00,0.00e+00,0.00e+00,6.80e-01,0.00e+00,0.00e+00,2.34e-01,2.34e-01,1.70,0.00e+00,0.00e+00,0.00e+00,6.80e-01,0.00e+00,0.00e+00,5.18e-01,5.18e-01,0.00,0.00e+00,0.00e+00,0.00e+00,6.80e-01,612,1.19e+00
3000,1500,150000,0.00e+00,0.00e+00,1.90e-01,1.90e-01,7.50,0.00e+00,0.00e+00,0.00e+00,9.00e-01,0.00e+00,0.00e+00,9.61e-01,9.61e-01,1.20,0.00e+00,0.00e+00,0.00e+00,9.00e-01,0.00e+00,0.00e+00,1.34e+00,1.34e+00,0.00,0.00e+00,0.00e+00,0.00e+00,9.00e-01,911,2.49e+00
4000,2000,200000,0.00e+00,0.00e+00,3.70e-01,3.70e-01,3.50,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,1.02e+00,1.02e+00,0.80,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,7.97e-01,7.97e-01,0.60,0.00e+00,0.00e+00,0.00e+00,8.60e-01,1192,2.19e+00
5000,2500,250000,0.00e+00,0.00e+00,2.80e-01,2.80e-01,6.50,0.00e+00,0.00e+00,0.00e+00,9.20e-01,0.00e+00,0.00e+00,1.03e+00,1.03e+00,0.90,0.00e+00,0.00e+00,0.00e+00,9.20e-01,0.00e+00,0.00e+00,1.61e+00,1.61e+00,0.50,0.00e+00,0.00e+00,0.00e+00,9.20e-01,1472,2.92e+00
6000,3000,300000,0.00e+00,0.00e+00,6.10e-01,6.10e-01,4.90,0.00e+00,0.00e+00,0.00e+00,7.80e-01,0.00e+00,0.00e+00,1.39e+00,1.39e+00,1.00,0.00e+00,0.00e+00,0.00e+00,7.80e-01,0.00e+00,0.00e+00,1.22e+00,1.22e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.80e-01,1752,3.22e+00
7000,3500,350000,0.00e+00,0.00e+00,3.30e-01,3.30e-01,7.80,0.00e+00,0.00e+00,0.00e+00,8.00e-01,0.00e+00,0.00e+00,4.97e-01,4.97e-01,0.70,0.00e+00,0.00e+00,0.00e+00,8.00e-01,0.00e+00,0.00e+00,1.51e+00,1.51e+00,0.10,0.00e+00,0.00e+00,0.00e+00,8.00e-01,2032,2.33e+00
8000,4000,400000,0.00e+00,0.00e+00,2.60e-01,2.60e-01,4.00,0.00e+00,0.00e+00,0.00e+00,9.20e-01,0.00e+00,0.00e+00,6.78e-01,6.78e-01,0.60,0.00e+00,0.00e+00,0.00e+00,9.20e-01,0.00e+00,0.00e+00,1.52e+00,1.52e+00,0.00,0.00e+00,0.00e+00,0.00e+00,9.20e-01,2311,2.46e+00
9000,4500,450000,0.00e+00,0.00e+00,4.50e-01,4.50e-01,7.20,0.00e+00,0.00e+00,0.00e+00,8.00e-01,0.00e+00,0.00e+00,1.41e+00,1.41e+00,2.10,0.00e+00,0.00e+00,0.00e+00,8.00e-01,0.00e+00,0.00e+00,1.37e+00,1.37e+00,0.60,0.00e+00,0.00e+00,0.00e+00,8.00e-01,2589,3.23e+00
10000,5000,500000,0.00e+00,0.00e+00,5.60e-01,5.60e-01,5.30,0.00e+00,0.00e+00,0.00e+00,7.00e-01,0.00e+00,0.00e+00,1.43e+00,1.43e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.00e-01,0.00e+00,0.00e+00,1.31e+00,1.31e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.00e-01,2874,3.29e+00
11000,5500,550000,0.00e+00,0.00e+00,5.50e-01,5.50e-01,3.70,0.00e+00,0.00e+00,0.00e+00,7.60e-01,0.00e+00,0.00e+00,8.11e-01,8.11e-01,0.00,0.00e+00,0.00e+00,0.00e+00,7.60e-01,0.00e+00,0.00e+00,5.42e-01,5.42e-01,0.70,0.00e+00,0.00e+00,0.00e+00,7.60e-01,3153,1.90e+00
12000,6000,600000,0.00e+00,0.00e+00,6.50e-01,6.50e-01,7.30,0.00e+00,0.00e+00,0.00e+00,6.60e-01,0.00e+00,0.00e+00,7.59e-01,7.59e-01,0.70,0.00e+00,0.00e+00,0.00e+00,6.60e-01,0.00e+00,0.00e+00,1.03e+00,1.03e+00,0.00,0.00e+00,0.00e+00,0.00e+00,6.60e-01,3433,2.44e+00
13000,6500,650000,0.00e+00,0.00e+00,7.50e-01,7.50e-01,6.70,0.00e+00,0.00e+00,0.00e+00,6.60e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,0.80,0.00e+00,0.00e+00,0.00e+00,6.60e-01,0.00e+00,0.00e+00,1.93e+00,1.93e+00,0.10,0.00e+00,0.00e+00,0.00e+00,6.60e-01,3711,4.18e+00
14000,7000,700000,0.00e+00,0.00e+00,8.30e-01,8.30e-01,6.70,0.00e+00,0.00e+00,0.00e+00,6.60e-01,0.00e+00,0.00e+00,2.04e+00,2.04e+00,1.00,0.00e+00,0.00e+00,0.00e+00,6.60e-01,0.00e+00,0.00e+00,1.96e+00,1.96e+00,0.10,0.00e+00,0.00e+00,0.00e+00,6.60e-01,3990,4.83e+00
15000,7500,750000,0.00e+00,0.00e+00,2.40e-01,2.40e-01,6.70,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,5.68e-01,5.68e-01,1.40,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,1.62e+00,1.62e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.40e-01,4268,2.43e+00
16000,8000,800000,0.00e+00,0.00e+00,1.08e+00,1.08e+00,7.20,0.00e+00,0.00e+00,0.00e+00,7.20e-01,0.00e+00,0.00e+00,1.57e+00,1.57e+00,0.80,0.00e+00,0.00e+00,0.00e+00,7.20e-01,0.00e+00,0.00e+00,2.11e+00,2.11e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.20e-01,4547,4.76e+00
17000,8500,850000,0.00e+00,0.00e+00,1.03e+00,1.03e+00,8.50,0.00e+00,0.00e+00,0.00e+00,5.40e-01,0.00e+00,0.00e+00,1.97e+00,1.97e+00,0.00,0.00e+00,0.00e+00,0.00e+00,5.40e-01,0.00e+00,0.00e+00,1.76e+00,1.76e+00,0.30,0.00e+00,0.00e+00,0.00e+00,5.40e-01,4825,4.76e+00
