episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,9.80e-01,9.80e-01,1.50,0.00e+00,0.00e+00,0.00e+00,3.40e-01,0.00e+00,0.00e+00,7.48e-01,7.48e-01,1.20,0.00e+00,0.00e+00,0.00e+00,3.40e-01,207,1.73e+00
2000,1000,100000,0.00e+00,0.00e+00,9.40e-01,9.40e-01,1.50,0.00e+00,0.00e+00,0.00e+00,1.80e-01,0.00e+00,0.00e+00,7.60e-02,7.60e-02,2.60,0.00e+00,0.00e+00,0.00e+00,1.80e-01,413,1.02e+00
3000,1500,150000,0.00e+00,0.00e+00,5.80e-01,5.80e-01,3.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,8.28e-01,8.28e-01,0.90,0.00e+00,0.00e+00,0.00e+00,3.00e-01,619,1.41e+00
4000,2000,200000,0.00e+00,0.00e+00,4.20e-01,4.20e-01,2.60,0.00e+00,0.00e+00,0.00e+00,2.60e-01,0.00e+00,0.00e+00,7.04e-01,7.04e-01,0.80,0.00e+00,0.00e+00,0.00e+00,2.60e-01,825,1.12e+00
5000,2500,250000,0.00e+00,0.00e+00,2.00e-01,2.00e-01,1.50,0.00e+00,0.00e+00,0.00e+00,3.80e-01,0.00e+00,0.00e+00,5.00e-01,5.00e-01,0.60,0.00e+00,0.00e+00,0.00e+00,3.80e-01,1025,7.00e-01
6000,3000,300000,0.00e+00,0.00e+00,5.80e-01,5.80e-01,1.70,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,3.28e-01,3.28e-01,1.70,0.00e+00,0.00e+00,0.00e+00,5.00e-01,1220,9.08e-01
7000,3500,350000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,1.80,0.00e+00,0.00e+00,0.00e+00,3.40e-01,0.00e+00,0.00e+00,7.80e-01,7.80e-01,0.70,0.00e+00,0.00e+00,0.00e+00,3.40e-01,1414,1.18e+00
8000,4000,400000,0.00e+00,0.00e+00,6.60e-01,6.60e-01,2.50,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,1.06e+00,1.06e+00,0.90,0.00e+00,0.00e+00,0.00e+00,2.00e-01,1609,1.72e+00
9000,4500,450000,0.00e+00,0.00e+00,4.60e-01,4.60e-01,2.40,0.00e+00,0.00e+00,0.00e+00,2.80e-01,0.00e+00,0.00e+00,7.48e-01,7.48e-01,0.50,0.00e+00,0.00e+00,0.00e+00,2.80e-01,1804,1.21e+00
10000,5000,500000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,3.70,0.00e+00,0.00e+00,0.00e+00,2.80e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,0.30,0.00e+00,0.00e+00,0.00e+00,2.80e-01,1998,1.90e+00
