episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,time,reward_env_total
25000,12500,1250000,0.00e+00,0.00e+00,8.70e+00,8.70e+00,26.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.70e+00,8.70e+00,0.00,0.00e+00,0.00e+00,0.00e+00,4684,1.74e+01
26000,13000,1300000,0.00e+00,0.00e+00,1.02e+01,1.02e+01,31.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.02e+01,1.02e+01,0.00,0.00e+00,0.00e+00,0.00e+00,4879,2.05e+01
27000,13500,1350000,0.00e+00,0.00e+00,1.03e+01,1.03e+01,30.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+01,1.03e+01,0.00,0.00e+00,0.00e+00,0.00e+00,5079,2.06e+01
28000,14000,1400000,0.00e+00,0.00e+00,1.11e+01,1.11e+01,30.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.11e+01,1.11e+01,0.00,0.00e+00,0.00e+00,0.00e+00,5269,2.21e+01
29000,14500,1450000,0.00e+00,0.00e+00,1.34e+01,1.34e+01,34.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.34e+01,1.34e+01,0.00,0.00e+00,0.00e+00,0.00e+00,5490,2.69e+01
30000,15000,1500000,0.00e+00,0.00e+00,1.14e+01,1.14e+01,30.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.14e+01,1.14e+01,0.00,0.00e+00,0.00e+00,0.00e+00,5705,2.28e+01
31000,15500,1550000,0.00e+00,0.00e+00,1.20e+01,1.20e+01,32.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.20e+01,1.20e+01,0.00,0.00e+00,0.00e+00,0.00e+00,5903,2.40e+01
32000,16000,1600000,0.00e+00,0.00e+00,1.28e+01,1.28e+01,32.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.28e+01,1.28e+01,0.00,0.00e+00,0.00e+00,0.00e+00,6100,2.56e+01
33000,16500,1650000,0.00e+00,0.00e+00,1.29e+01,1.29e+01,32.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.29e+01,1.29e+01,0.00,0.00e+00,0.00e+00,0.00e+00,6298,2.59e+01
34000,17000,1700000,0.00e+00,0.00e+00,1.26e+01,1.26e+01,33.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.26e+01,1.26e+01,0.00,0.00e+00,0.00e+00,0.00e+00,6496,2.51e+01
35000,17500,1750000,0.00e+00,0.00e+00,1.44e+01,1.44e+01,33.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.44e+01,1.44e+01,0.00,0.00e+00,0.00e+00,0.00e+00,6698,2.88e+01
36000,18000,1800000,0.00e+00,0.00e+00,1.41e+01,1.41e+01,33.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.41e+01,1.41e+01,0.00,0.00e+00,0.00e+00,0.00e+00,6897,2.81e+01
37000,18500,1850000,0.00e+00,0.00e+00,1.45e+01,1.45e+01,33.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.45e+01,1.45e+01,0.00,0.00e+00,0.00e+00,0.00e+00,7095,2.90e+01
