episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
100,100,8000,0.000e+00,0.000e+00,-1.512e+00,-1.512e+00,8.780e-01,0.000e+00,0.000e+00,-1.510e+00,-1.510e+00,8.780e-01
200,200,16000,0.000e+00,0.000e+00,-1.497e+00,-1.497e+00,8.704e-01,0.000e+00,0.000e+00,-1.519e+00,-1.519e+00,8.704e-01
300,300,24000,0.000e+00,0.000e+00,-1.524e+00,-1.524e+00,8.648e-01,0.000e+00,0.000e+00,-1.513e+00,-1.513e+00,8.648e-01
400,400,32000,0.000e+00,0.000e+00,-1.543e+00,-1.543e+00,8.563e-01,0.000e+00,0.000e+00,-1.504e+00,-1.504e+00,8.563e-01
500,500,40000,0.000e+00,0.000e+00,-1.547e+00,-1.547e+00,8.894e-01,0.000e+00,0.000e+00,-1.548e+00,-1.548e+00,8.894e-01
600,600,48000,0.000e+00,0.000e+00,-1.587e+00,-1.587e+00,8.916e-01,0.000e+00,0.000e+00,-1.547e+00,-1.547e+00,8.916e-01
700,700,56000,0.000e+00,0.000e+00,-1.623e+00,-1.623e+00,8.625e-01,0.000e+00,0.000e+00,-1.543e+00,-1.543e+00,8.625e-01
800,800,64000,0.000e+00,0.000e+00,-1.659e+00,-1.659e+00,8.862e-01,0.000e+00,0.000e+00,-1.547e+00,-1.547e+00,8.862e-01
900,900,72000,0.000e+00,0.000e+00,-1.723e+00,-1.723e+00,8.590e-01,0.000e+00,0.000e+00,-1.540e+00,-1.540e+00,8.590e-01
1000,1000,80000,0.000e+00,0.000e+00,-1.766e+00,-1.766e+00,8.860e-01,0.000e+00,0.000e+00,-1.596e+00,-1.596e+00,8.860e-01
1100,1100,88000,0.000e+00,0.000e+00,-1.846e+00,-1.846e+00,8.847e-01,0.000e+00,0.000e+00,-1.589e+00,-1.589e+00,8.847e-01
1200,1200,96000,0.000e+00,0.000e+00,-1.875e+00,-1.875e+00,8.917e-01,0.000e+00,0.000e+00,-1.629e+00,-1.629e+00,8.917e-01
1300,1300,104000,0.000e+00,0.000e+00,-1.940e+00,-1.940e+00,9.076e-01,0.000e+00,0.000e+00,-1.661e+00,-1.661e+00,9.076e-01
