episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
1000,500,50000,6.39e-03,7.39e+01,0.00e+00,7.39e+01,25.80,5.39e+01,7.15e+01,3.99e+01,1.00e+00,7.39e+01,6.39e-03,1.67e+01,-5.72e+01,0.00,0.00e+00,1.13e-04,0.00e+00,1.00e+00,341,1.67e+01
2000,1000,100000,8.68e-05,7.13e+01,0.00e+00,7.13e+01,38.50,7.13e+01,7.13e+01,5.49e+01,1.00e+00,7.13e+01,8.68e-05,3.30e+01,-3.83e+01,0.00,0.00e+00,1.99e-07,0.00e+00,1.00e+00,654,3.30e+01
3000,1500,150000,1.65e-04,7.96e+01,0.00e+00,7.96e+01,37.60,7.96e+01,7.96e+01,5.99e+01,1.00e+00,7.96e+01,1.65e-04,3.11e+01,-4.85e+01,0.00,0.00e+00,2.37e-07,0.00e+00,1.00e+00,957,3.11e+01
4000,2000,200000,4.97e-05,8.14e+01,0.00e+00,8.14e+01,39.20,8.14e+01,8.14e+01,6.38e+01,1.00e+00,8.14e+01,4.97e-05,2.95e+01,-5.19e+01,0.00,0.00e+00,2.03e-06,0.00e+00,1.00e+00,1260,2.95e+01
5000,2500,250000,5.13e-07,8.56e+01,0.00e+00,8.56e+01,37.80,8.56e+01,8.56e+01,6.47e+01,1.00e+00,8.56e+01,5.13e-07,3.43e+01,-5.13e+01,0.00,0.00e+00,3.19e-10,0.00e+00,1.00e+00,1564,3.43e+01
6000,3000,300000,5.55e-07,6.36e+01,0.00e+00,6.36e+01,39.10,6.36e+01,6.36e+01,4.97e+01,1.00e+00,6.36e+01,5.55e-07,3.56e+01,-2.80e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,1867,3.56e+01
7000,3500,350000,1.57e-07,9.18e+01,0.00e+00,9.18e+01,38.60,9.18e+01,9.18e+01,7.09e+01,1.00e+00,9.18e+01,1.57e-07,3.67e+01,-5.51e+01,0.00,0.00e+00,7.58e-11,0.00e+00,1.00e+00,2170,3.67e+01
8000,4000,400000,4.16e-15,1.07e+00,0.00e+00,1.07e+00,38.80,1.07e+00,1.07e+00,8.34e-01,1.00e+00,1.07e+00,4.16e-15,3.78e+01,3.67e+01,0.00,0.00e+00,3.20e-21,0.00e+00,1.00e+00,2506,3.78e+01
9000,4500,450000,4.23e-15,3.59e+00,0.00e+00,3.59e+00,39.60,3.59e+00,3.59e+00,2.92e+00,1.00e+00,3.59e+00,4.23e-15,3.51e+01,3.15e+01,0.00,0.00e+00,4.90e-16,0.00e+00,1.00e+00,2809,3.51e+01
10000,5000,500000,3.93e-13,1.33e-02,0.00e+00,1.33e-02,39.00,1.33e-02,1.33e-02,1.26e-02,1.00e+00,1.33e-02,3.93e-13,3.82e+01,3.82e+01,0.00,0.00e+00,9.79e-16,0.00e+00,1.00e+00,3112,3.82e+01
11000,5500,550000,4.38e-15,9.48e+01,0.00e+00,9.48e+01,40.60,9.48e+01,9.48e+01,7.70e+01,1.00e+00,9.48e+01,4.38e-15,3.83e+01,-5.65e+01,0.00,0.00e+00,1.47e-15,0.00e+00,1.00e+00,3415,3.83e+01
12000,6000,600000,4.31e-15,9.83e+01,0.00e+00,9.83e+01,37.30,9.83e+01,9.83e+01,7.33e+01,1.00e+00,9.83e+01,4.31e-15,3.83e+01,-6.00e+01,0.00,0.00e+00,9.79e-16,0.00e+00,1.00e+00,3717,3.83e+01
13000,6500,650000,4.16e-15,1.97e+01,0.00e+00,1.97e+01,40.00,1.97e+01,1.97e+01,1.55e+01,1.00e+00,1.97e+01,4.16e-15,4.10e+01,2.13e+01,0.00,0.00e+00,1.72e-21,0.00e+00,1.00e+00,4020,4.10e+01
14000,7000,700000,4.23e-15,9.95e+01,0.00e+00,9.95e+01,39.60,9.95e+01,9.95e+01,7.88e+01,1.00e+00,9.95e+01,4.23e-15,3.94e+01,-6.01e+01,0.00,0.00e+00,4.90e-16,0.00e+00,1.00e+00,4329,3.94e+01
15000,7500,750000,4.16e-15,1.03e+01,0.00e+00,1.03e+01,37.60,1.03e+01,1.03e+01,7.98e+00,1.00e+00,1.03e+01,4.16e-15,3.95e+01,2.92e+01,0.00,0.00e+00,6.50e-22,0.00e+00,1.00e+00,4630,3.95e+01
16000,8000,800000,4.16e-15,2.32e-02,0.00e+00,2.32e-02,38.10,2.32e-02,2.32e-02,2.29e-02,1.00e+00,2.32e-02,4.16e-15,3.78e+01,3.78e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,4932,3.78e+01
17000,8500,850000,4.23e-15,5.84e-03,0.00e+00,5.84e-03,39.70,5.84e-03,5.84e-03,5.82e-03,1.00e+00,5.84e-03,4.23e-15,3.65e+01,3.65e+01,0.00,0.00e+00,4.90e-16,0.00e+00,1.00e+00,5235,3.65e+01
