episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,6.40,0.00e+00,0.00e+00,0.00e+00,8.20e-01,0.00e+00,0.00e+00,5.30e-01,5.30e-01,2.00,0.00e+00,0.00e+00,0.00e+00,8.20e-01,0.00e+00,0.00e+00,9.22e-01,9.22e-01,0.40,0.00e+00,0.00e+00,0.00e+00,8.20e-01,306,1.85e+00
2000,1000,100000,0.00e+00,0.00e+00,1.00e-01,1.00e-01,2.50,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,6.80e-01,6.80e-01,3.90,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,4.85e-01,4.85e-01,2.50,0.00e+00,0.00e+00,0.00e+00,7.40e-01,608,1.27e+00
3000,1500,150000,0.00e+00,0.00e+00,3.10e-01,3.10e-01,6.10,0.00e+00,0.00e+00,0.00e+00,8.20e-01,0.00e+00,0.00e+00,7.41e-01,7.41e-01,3.20,0.00e+00,0.00e+00,0.00e+00,8.20e-01,0.00e+00,0.00e+00,1.76e+00,1.76e+00,0.20,0.00e+00,0.00e+00,0.00e+00,8.20e-01,907,2.81e+00
4000,2000,200000,0.00e+00,0.00e+00,6.10e-01,6.10e-01,8.30,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,1.18e+00,1.18e+00,1.60,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,2.15e+00,2.15e+00,0.10,0.00e+00,0.00e+00,0.00e+00,7.40e-01,1187,3.94e+00
5000,2500,250000,0.00e+00,0.00e+00,6.60e-01,6.60e-01,9.70,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,1.60e+00,1.60e+00,0.20,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,1.21e+00,1.21e+00,1.20,0.00e+00,0.00e+00,0.00e+00,7.40e-01,1467,3.47e+00
6000,3000,300000,0.00e+00,0.00e+00,1.11e+00,1.11e+00,6.00,0.00e+00,0.00e+00,0.00e+00,6.00e-01,0.00e+00,0.00e+00,1.51e+00,1.51e+00,1.30,0.00e+00,0.00e+00,0.00e+00,6.00e-01,0.00e+00,0.00e+00,1.31e+00,1.31e+00,1.20,0.00e+00,0.00e+00,0.00e+00,6.00e-01,1747,3.94e+00
7000,3500,350000,0.00e+00,0.00e+00,7.40e-01,7.40e-01,9.10,0.00e+00,0.00e+00,0.00e+00,7.60e-01,0.00e+00,0.00e+00,1.57e+00,1.57e+00,0.70,0.00e+00,0.00e+00,0.00e+00,7.60e-01,0.00e+00,0.00e+00,1.34e+00,1.34e+00,0.90,0.00e+00,0.00e+00,0.00e+00,7.60e-01,2027,3.65e+00
8000,4000,400000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,9.20,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,1.29e+00,1.29e+00,0.30,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,1.77e+00,1.77e+00,0.60,0.00e+00,0.00e+00,0.00e+00,8.60e-01,2306,3.46e+00
9000,4500,450000,0.00e+00,0.00e+00,2.40e-01,2.40e-01,5.70,0.00e+00,0.00e+00,0.00e+00,8.80e-01,0.00e+00,0.00e+00,1.52e+00,1.52e+00,0.70,0.00e+00,0.00e+00,0.00e+00,8.80e-01,0.00e+00,0.00e+00,1.07e+00,1.07e+00,0.80,0.00e+00,0.00e+00,0.00e+00,8.80e-01,2585,2.83e+00
10000,5000,500000,0.00e+00,0.00e+00,6.80e-01,6.80e-01,8.90,0.00e+00,0.00e+00,0.00e+00,6.40e-01,0.00e+00,0.00e+00,1.36e+00,1.36e+00,0.10,0.00e+00,0.00e+00,0.00e+00,6.40e-01,0.00e+00,0.00e+00,1.51e+00,1.51e+00,0.00,0.00e+00,0.00e+00,0.00e+00,6.40e-01,2870,3.55e+00
