episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
100,100,8000,0.000e+00,0.000e+00,-1.489e+00,-1.489e+00,5.575e-01,0.000e+00,0.000e+00,-1.530e+00,-1.530e+00,5.575e-01
200,200,16000,0.000e+00,0.000e+00,-1.467e+00,-1.467e+00,5.942e-01,0.000e+00,0.000e+00,-1.565e+00,-1.565e+00,5.942e-01
300,300,24000,0.000e+00,0.000e+00,-1.464e+00,-1.464e+00,5.745e-01,0.000e+00,0.000e+00,-1.555e+00,-1.555e+00,5.745e-01
400,400,32000,0.000e+00,0.000e+00,-1.467e+00,-1.467e+00,6.076e-01,0.000e+00,0.000e+00,-1.549e+00,-1.549e+00,6.076e-01
500,500,40000,0.000e+00,0.000e+00,-1.491e+00,-1.491e+00,5.405e-01,0.000e+00,0.000e+00,-1.521e+00,-1.521e+00,5.405e-01
600,600,48000,0.000e+00,0.000e+00,-1.469e+00,-1.469e+00,5.786e-01,0.000e+00,0.000e+00,-1.523e+00,-1.523e+00,5.786e-01
700,700,56000,0.000e+00,0.000e+00,-1.457e+00,-1.457e+00,5.500e-01,0.000e+00,0.000e+00,-1.541e+00,-1.541e+00,5.500e-01
800,800,64000,0.000e+00,0.000e+00,-1.442e+00,-1.442e+00,5.510e-01,0.000e+00,0.000e+00,-1.521e+00,-1.521e+00,5.510e-01
900,900,72000,0.000e+00,0.000e+00,-1.437e+00,-1.437e+00,5.526e-01,0.000e+00,0.000e+00,-1.481e+00,-1.481e+00,5.526e-01
1000,1000,80000,0.000e+00,0.000e+00,-1.412e+00,-1.412e+00,5.381e-01,0.000e+00,0.000e+00,-1.473e+00,-1.473e+00,5.381e-01
1100,1100,88000,0.000e+00,0.000e+00,-1.405e+00,-1.405e+00,5.272e-01,0.000e+00,0.000e+00,-1.462e+00,-1.462e+00,5.272e-01
1200,1200,96000,0.000e+00,0.000e+00,-1.396e+00,-1.396e+00,4.709e-01,0.000e+00,0.000e+00,-1.440e+00,-1.440e+00,4.709e-01
1300,1300,104000,0.000e+00,0.000e+00,-1.355e+00,-1.355e+00,4.247e-01,0.000e+00,0.000e+00,-1.422e+00,-1.422e+00,4.247e-01
1400,1400,112000,0.000e+00,0.000e+00,-1.306e+00,-1.306e+00,3.072e-01,0.000e+00,0.000e+00,-1.388e+00,-1.388e+00,3.072e-01
1500,1500,120000,0.000e+00,0.000e+00,-1.146e+00,-1.146e+00,2.304e-01,0.000e+00,0.000e+00,-1.422e+00,-1.422e+00,2.304e-01
1600,1600,128000,0.000e+00,0.000e+00,-9.855e-01,-9.855e-01,1.366e-01,0.000e+00,0.000e+00,-1.410e+00,-1.410e+00,1.366e-01
1700,1700,136000,0.000e+00,0.000e+00,-9.437e-01,-9.437e-01,8.850e-02,0.000e+00,0.000e+00,-1.310e+00,-1.310e+00,8.850e-02
1800,1800,144000,0.000e+00,0.000e+00,-9.449e-01,-9.449e-01,6.325e-02,0.000e+00,0.000e+00,-1.216e+00,-1.216e+00,6.325e-02
1900,1900,152000,0.000e+00,0.000e+00,-9.568e-01,-9.568e-01,5.275e-02,0.000e+00,0.000e+00,-1.142e+00,-1.142e+00,5.275e-02
2000,2000,160000,0.000e+00,0.000e+00,-9.804e-01,-9.804e-01,3.613e-02,0.000e+00,0.000e+00,-1.066e+00,-1.066e+00,3.613e-02
2100,2100,168000,0.000e+00,0.000e+00,-9.900e-01,-9.900e-01,3.188e-02,0.000e+00,0.000e+00,-1.037e+00,-1.037e+00,3.188e-02
2200,2200,176000,0.000e+00,0.000e+00,-9.982e-01,-9.982e-01,2.438e-02,0.000e+00,0.000e+00,-1.016e+00,-1.016e+00,2.438e-02
2300,2300,184000,0.000e+00,0.000e+00,-9.988e-01,-9.988e-01,2.450e-02,0.000e+00,0.000e+00,-1.014e+00,-1.014e+00,2.450e-02
