episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,2.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,4.00e-01,1.20,0.00e+00,0.00e+00,0.00e+00,185,8.00e-01
2000,1000,100000,0.00e+00,0.00e+00,5.00e-01,5.00e-01,1.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.00e-01,5.00e-01,2.60,0.00e+00,0.00e+00,0.00e+00,369,1.00e+00
3000,1500,150000,0.00e+00,0.00e+00,1.00e+00,1.00e+00,2.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,1.00e+00,2.70,0.00e+00,0.00e+00,0.00e+00,549,2.00e+00
4000,2000,200000,0.00e+00,0.00e+00,7.00e-01,7.00e-01,2.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.00e-01,7.00e-01,1.70,0.00e+00,0.00e+00,0.00e+00,730,1.40e+00
5000,2500,250000,0.00e+00,0.00e+00,5.50e-01,5.50e-01,1.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.50e-01,5.50e-01,1.60,0.00e+00,0.00e+00,0.00e+00,911,1.10e+00
6000,3000,300000,0.00e+00,0.00e+00,1.40e+00,1.40e+00,1.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.40e+00,1.40e+00,4.10,0.00e+00,0.00e+00,0.00e+00,1095,2.80e+00
7000,3500,350000,0.00e+00,0.00e+00,1.10e+00,1.10e+00,1.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.10e+00,1.10e+00,3.50,0.00e+00,0.00e+00,0.00e+00,1276,2.20e+00
8000,4000,400000,0.00e+00,0.00e+00,6.50e-01,6.50e-01,1.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.50e-01,6.50e-01,2.50,0.00e+00,0.00e+00,0.00e+00,1457,1.30e+00
9000,4500,450000,0.00e+00,0.00e+00,9.00e-01,9.00e-01,1.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.00e-01,9.00e-01,4.00,0.00e+00,0.00e+00,0.00e+00,1645,1.80e+00
10000,5000,500000,0.00e+00,0.00e+00,1.20e+00,1.20e+00,1.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.20e+00,1.20e+00,5.70,0.00e+00,0.00e+00,0.00e+00,1826,2.40e+00
11000,5500,550000,0.00e+00,0.00e+00,1.25e+00,1.25e+00,0.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.25e+00,1.25e+00,6.10,0.00e+00,0.00e+00,0.00e+00,2016,2.50e+00
12000,6000,600000,0.00e+00,0.00e+00,1.35e+00,1.35e+00,1.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.35e+00,1.35e+00,6.40,0.00e+00,0.00e+00,0.00e+00,2205,2.70e+00
13000,6500,650000,0.00e+00,0.00e+00,1.40e+00,1.40e+00,2.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.40e+00,1.40e+00,5.40,0.00e+00,0.00e+00,0.00e+00,2394,2.80e+00
14000,7000,700000,0.00e+00,0.00e+00,1.30e+00,1.30e+00,1.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.30e+00,1.30e+00,5.70,0.00e+00,0.00e+00,0.00e+00,2583,2.60e+00
15000,7500,750000,0.00e+00,0.00e+00,1.70e+00,1.70e+00,2.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.70e+00,1.70e+00,8.40,0.00e+00,0.00e+00,0.00e+00,2785,3.40e+00
16000,8000,800000,0.00e+00,0.00e+00,1.55e+00,1.55e+00,0.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+00,1.55e+00,6.30,0.00e+00,0.00e+00,0.00e+00,2968,3.10e+00
17000,8500,850000,0.00e+00,0.00e+00,3.05e+00,3.05e+00,1.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.05e+00,3.05e+00,11.50,0.00e+00,0.00e+00,0.00e+00,3150,6.10e+00
18000,9000,900000,0.00e+00,0.00e+00,3.25e+00,3.25e+00,1.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.25e+00,3.25e+00,13.60,0.00e+00,0.00e+00,0.00e+00,3332,6.50e+00
19000,9500,950000,0.00e+00,0.00e+00,3.15e+00,3.15e+00,0.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.15e+00,3.15e+00,13.70,0.00e+00,0.00e+00,0.00e+00,3521,6.30e+00
