episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,time,reward_env_total
20000,10000,1000000,0.00e+00,0.00e+00,3.95e+00,3.95e+00,0.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,3.95e+00,3.95e+00,17.40,0.00e+00,0.00e+00,0.00e+00,3712,7.90e+00
21000,10500,1050000,0.00e+00,0.00e+00,4.35e+00,4.35e+00,1.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.35e+00,4.35e+00,17.90,0.00e+00,0.00e+00,0.00e+00,3903,8.70e+00
22000,11000,1100000,0.00e+00,0.00e+00,5.05e+00,5.05e+00,0.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.05e+00,5.05e+00,18.80,0.00e+00,0.00e+00,0.00e+00,4096,1.01e+01
23000,11500,1150000,0.00e+00,0.00e+00,6.70e+00,6.70e+00,0.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.70e+00,6.70e+00,23.70,0.00e+00,0.00e+00,0.00e+00,4289,1.34e+01
24000,12000,1200000,0.00e+00,0.00e+00,8.30e+00,8.30e+00,0.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.30e+00,8.30e+00,25.60,0.00e+00,0.00e+00,0.00e+00,4483,1.66e+01
25000,12500,1250000,0.00e+00,0.00e+00,1.03e+01,1.03e+01,0.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.03e+01,1.03e+01,27.40,0.00e+00,0.00e+00,0.00e+00,4677,2.06e+01
26000,13000,1300000,0.00e+00,0.00e+00,1.02e+01,1.02e+01,0.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.02e+01,1.02e+01,29.80,0.00e+00,0.00e+00,0.00e+00,4872,2.05e+01
27000,13500,1350000,0.00e+00,0.00e+00,1.06e+01,1.06e+01,0.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.06e+01,1.06e+01,28.30,0.00e+00,0.00e+00,0.00e+00,5070,2.11e+01
28000,14000,1400000,0.00e+00,0.00e+00,1.22e+01,1.22e+01,0.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.22e+01,1.22e+01,29.70,0.00e+00,0.00e+00,0.00e+00,5262,2.43e+01
29000,14500,1450000,0.00e+00,0.00e+00,1.18e+01,1.18e+01,0.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.18e+01,1.18e+01,28.60,0.00e+00,0.00e+00,0.00e+00,5481,2.37e+01
30000,15000,1500000,0.00e+00,0.00e+00,1.15e+01,1.15e+01,0.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.15e+01,1.15e+01,28.90,0.00e+00,0.00e+00,0.00e+00,5696,2.30e+01
31000,15500,1550000,0.00e+00,0.00e+00,1.21e+01,1.21e+01,0.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.21e+01,1.21e+01,28.80,0.00e+00,0.00e+00,0.00e+00,5892,2.41e+01
32000,16000,1600000,0.00e+00,0.00e+00,1.22e+01,1.22e+01,0.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.22e+01,1.22e+01,29.90,0.00e+00,0.00e+00,0.00e+00,6089,2.43e+01
33000,16500,1650000,0.00e+00,0.00e+00,1.19e+01,1.19e+01,0.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.19e+01,1.19e+01,29.70,0.00e+00,0.00e+00,0.00e+00,6285,2.38e+01
34000,17000,1700000,0.00e+00,0.00e+00,1.42e+01,1.42e+01,1.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.42e+01,1.42e+01,32.30,0.00e+00,0.00e+00,0.00e+00,6481,2.85e+01
35000,17500,1750000,0.00e+00,0.00e+00,1.35e+01,1.35e+01,0.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.35e+01,1.35e+01,31.80,0.00e+00,0.00e+00,0.00e+00,6681,2.70e+01
36000,18000,1800000,0.00e+00,0.00e+00,1.33e+01,1.33e+01,1.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.33e+01,1.33e+01,29.30,0.00e+00,0.00e+00,0.00e+00,6878,2.67e+01
37000,18500,1850000,0.00e+00,0.00e+00,1.28e+01,1.28e+01,1.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.28e+01,1.28e+01,28.10,0.00e+00,0.00e+00,0.00e+00,7074,2.56e+01
38000,19000,1900000,0.00e+00,0.00e+00,1.23e+01,1.23e+01,1.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.23e+01,1.23e+01,29.10,0.00e+00,0.00e+00,0.00e+00,7278,2.46e+01
39000,19500,1950000,0.00e+00,0.00e+00,1.37e+01,1.37e+01,1.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.37e+01,1.37e+01,28.40,0.00e+00,0.00e+00,0.00e+00,7479,2.73e+01
40000,20000,2000000,0.00e+00,0.00e+00,1.37e+01,1.37e+01,0.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.37e+01,1.37e+01,29.50,0.00e+00,0.00e+00,0.00e+00,7681,2.73e+01
41000,20500,2050000,0.00e+00,0.00e+00,1.47e+01,1.47e+01,1.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.47e+01,1.47e+01,30.70,0.00e+00,0.00e+00,0.00e+00,7877,2.94e+01
42000,21000,2100000,0.00e+00,0.00e+00,1.44e+01,1.44e+01,1.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.44e+01,1.44e+01,29.50,0.00e+00,0.00e+00,0.00e+00,8073,2.88e+01
43000,21500,2150000,0.00e+00,0.00e+00,1.47e+01,1.47e+01,1.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.47e+01,1.47e+01,30.30,0.00e+00,0.00e+00,0.00e+00,8268,2.93e+01
44000,22000,2200000,0.00e+00,0.00e+00,1.32e+01,1.32e+01,1.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.32e+01,1.32e+01,28.50,0.00e+00,0.00e+00,0.00e+00,8463,2.63e+01
45000,22500,2250000,0.00e+00,0.00e+00,1.40e+01,1.40e+01,1.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.40e+01,1.40e+01,28.20,0.00e+00,0.00e+00,0.00e+00,8664,2.80e+01
46000,23000,2300000,0.00e+00,0.00e+00,1.34e+01,1.34e+01,1.30,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.34e+01,1.34e+01,30.20,0.00e+00,0.00e+00,0.00e+00,8865,2.69e+01
47000,23500,2350000,0.00e+00,0.00e+00,1.51e+01,1.51e+01,1.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.51e+01,1.51e+01,29.40,0.00e+00,0.00e+00,0.00e+00,9053,3.02e+01
48000,24000,2400000,0.00e+00,0.00e+00,1.49e+01,1.49e+01,1.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.49e+01,1.49e+01,31.20,0.00e+00,0.00e+00,0.00e+00,9248,2.99e+01
49000,24500,2450000,0.00e+00,0.00e+00,1.43e+01,1.43e+01,2.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.43e+01,1.43e+01,29.10,0.00e+00,0.00e+00,0.00e+00,9438,2.87e+01
50000,25000,2500000,0.00e+00,0.00e+00,1.46e+01,1.46e+01,2.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.46e+01,1.46e+01,29.40,0.00e+00,0.00e+00,0.00e+00,9633,2.91e+01
