episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
15000,7500,339233,0.00e+00,0.00e+00,3.00e-01,3.00e-01,3.10,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,5.50e-01,5.50e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,9.25e-01,9.25e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,4247,1.78e+00
16000,8000,360029,0.00e+00,0.00e+00,4.00e-01,4.00e-01,3.30,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,8.00e-01,8.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,7.75e-01,7.75e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,4498,1.98e+00
17000,8500,379894,0.00e+00,0.00e+00,2.50e-01,2.50e-01,2.50,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,7.50e-01,7.50e-01,0.50,0.00e+00,0.00e+00,0.00e+00,1.00e-01,0.00e+00,0.00e+00,4.00e-01,4.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,4749,1.40e+00
18000,9000,400837,0.00e+00,0.00e+00,1.00e-01,1.00e-01,1.10,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,1.50e-01,1.50e-01,0.40,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,2.00e-01,2.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e-01,5000,4.50e-01
19000,9500,422417,0.00e+00,0.00e+00,5.00e-02,5.00e-02,2.10,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,6.25e-01,6.25e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,7.75e-01,7.75e-01,0.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,5252,1.45e+00
20000,10000,443066,0.00e+00,0.00e+00,5.00e-02,5.00e-02,2.40,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,4.00e-01,4.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,5.25e-01,5.25e-01,0.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,5503,9.75e-01
21000,10500,463225,0.00e+00,0.00e+00,5.00e-01,5.00e-01,6.40,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,1.32e+00,1.32e+00,0.80,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,1.25e+00,1.25e+00,0.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,5753,3.08e+00
22000,11000,482747,0.00e+00,0.00e+00,1.50e-01,1.50e-01,2.20,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,5.75e-01,5.75e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,3.00e-01,3.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,6003,1.02e+00
23000,11500,501877,0.00e+00,0.00e+00,2.50e-01,2.50e-01,1.10,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,3.50e-01,3.50e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,6.25e-01,6.25e-01,0.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,6253,1.23e+00
24000,12000,522330,0.00e+00,0.00e+00,2.50e-01,2.50e-01,3.10,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,2.50e-01,2.50e-01,0.20,0.00e+00,0.00e+00,0.00e+00,1.00e-01,0.00e+00,0.00e+00,5.25e-01,5.25e-01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e-01,6503,1.02e+00
