episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
3800,3800,304000,0.000e+00,0.000e+00,-1.569e+00,-1.569e+00,2.919e-01,0.000e+00,0.000e+00,-1.171e+00,-1.171e+00,2.919e-01
3900,3900,312000,0.000e+00,0.000e+00,-1.193e+00,-1.193e+00,2.021e-01,0.000e+00,0.000e+00,-9.805e-01,-9.805e-01,2.021e-01
4000,4000,320000,0.000e+00,0.000e+00,-1.031e+00,-1.031e+00,1.593e-01,0.000e+00,0.000e+00,-1.005e+00,-1.005e+00,1.593e-01
4100,4100,328000,0.000e+00,0.000e+00,-1.019e+00,-1.019e+00,1.974e-01,0.000e+00,0.000e+00,-1.002e+00,-1.002e+00,1.974e-01
4200,4200,336000,0.000e+00,0.000e+00,-1.017e+00,-1.017e+00,3.209e-01,0.000e+00,0.000e+00,-1.007e+00,-1.007e+00,3.209e-01
4300,4300,344000,0.000e+00,0.000e+00,-1.009e+00,-1.009e+00,3.833e-01,0.000e+00,0.000e+00,-1.007e+00,-1.007e+00,3.833e-01
4400,4400,352000,0.000e+00,0.000e+00,-1.009e+00,-1.009e+00,3.497e-01,0.000e+00,0.000e+00,-1.005e+00,-1.005e+00,3.497e-01
4500,4500,360000,0.000e+00,0.000e+00,-1.005e+00,-1.005e+00,4.956e-01,0.000e+00,0.000e+00,-1.007e+00,-1.007e+00,4.956e-01
4600,4600,368000,0.000e+00,0.000e+00,-1.008e+00,-1.008e+00,4.638e-01,0.000e+00,0.000e+00,-1.008e+00,-1.008e+00,4.638e-01
4700,4700,376000,0.000e+00,0.000e+00,-1.008e+00,-1.008e+00,4.702e-01,0.000e+00,0.000e+00,-1.006e+00,-1.006e+00,4.702e-01
4800,4800,384000,0.000e+00,0.000e+00,-1.003e+00,-1.003e+00,5.575e-01,0.000e+00,0.000e+00,-1.008e+00,-1.008e+00,5.575e-01
4900,4900,392000,0.000e+00,0.000e+00,-1.005e+00,-1.005e+00,5.789e-01,0.000e+00,0.000e+00,-1.007e+00,-1.007e+00,5.789e-01
5000,5000,400000,0.000e+00,0.000e+00,-1.011e+00,-1.011e+00,5.763e-01,0.000e+00,0.000e+00,-1.009e+00,-1.009e+00,5.763e-01
5100,5100,408000,0.000e+00,0.000e+00,-1.019e+00,-1.019e+00,5.800e-01,0.000e+00,0.000e+00,-1.014e+00,-1.014e+00,5.800e-01
5200,5200,416000,0.000e+00,0.000e+00,-1.031e+00,-1.031e+00,5.201e-01,0.000e+00,0.000e+00,-1.024e+00,-1.024e+00,5.201e-01
5300,5300,424000,0.000e+00,0.000e+00,-1.079e+00,-1.079e+00,5.578e-01,0.000e+00,0.000e+00,-1.033e+00,-1.033e+00,5.578e-01
5400,5400,432000,0.000e+00,0.000e+00,-1.237e+00,-1.237e+00,6.507e-01,0.000e+00,0.000e+00,-1.012e+00,-1.012e+00,6.507e-01
5500,5500,440000,0.000e+00,0.000e+00,-1.115e+00,-1.115e+00,4.918e-01,0.000e+00,0.000e+00,-1.056e+00,-1.056e+00,4.918e-01
5600,5600,448000,0.000e+00,0.000e+00,-1.092e+00,-1.092e+00,3.803e-01,0.000e+00,0.000e+00,-1.046e+00,-1.046e+00,3.803e-01
5700,5700,456000,0.000e+00,0.000e+00,-1.073e+00,-1.073e+00,3.388e-01,0.000e+00,0.000e+00,-1.041e+00,-1.041e+00,3.388e-01
5800,5800,464000,0.000e+00,0.000e+00,-1.129e+00,-1.129e+00,4.014e-01,0.000e+00,0.000e+00,-1.040e+00,-1.040e+00,4.014e-01
5900,5900,472000,0.000e+00,0.000e+00,-1.110e+00,-1.110e+00,3.650e-01,0.000e+00,0.000e+00,-1.005e+00,-1.005e+00,3.650e-01
6000,6000,480000,0.000e+00,0.000e+00,-1.146e+00,-1.146e+00,3.585e-01,0.000e+00,0.000e+00,-1.014e+00,-1.014e+00,3.585e-01
6100,6100,488000,0.000e+00,0.000e+00,-1.261e+00,-1.261e+00,4.208e-01,0.000e+00,0.000e+00,-1.047e+00,-1.047e+00,4.208e-01
6200,6200,496000,0.000e+00,0.000e+00,-1.377e+00,-1.377e+00,4.785e-01,0.000e+00,0.000e+00,-1.252e+00,-1.252e+00,4.785e-01
6300,6300,504000,0.000e+00,0.000e+00,-1.204e+00,-1.204e+00,4.014e-01,0.000e+00,0.000e+00,-1.212e+00,-1.212e+00,4.014e-01
6400,6400,512000,0.000e+00,0.000e+00,-1.198e+00,-1.198e+00,4.131e-01,0.000e+00,0.000e+00,-1.188e+00,-1.188e+00,4.131e-01
6500,6500,520000,0.000e+00,0.000e+00,-1.193e+00,-1.193e+00,3.465e-01,0.000e+00,0.000e+00,-1.214e+00,-1.214e+00,3.465e-01
6600,6600,528000,0.000e+00,0.000e+00,-1.121e+00,-1.121e+00,2.762e-01,0.000e+00,0.000e+00,-1.166e+00,-1.166e+00,2.762e-01
6700,6700,536000,0.000e+00,0.000e+00,-1.127e+00,-1.127e+00,2.310e-01,0.000e+00,0.000e+00,-1.158e+00,-1.158e+00,2.310e-01
6800,6800,544000,0.000e+00,0.000e+00,-1.119e+00,-1.119e+00,2.314e-01,0.000e+00,0.000e+00,-1.141e+00,-1.141e+00,2.314e-01
6900,6900,552000,0.000e+00,0.000e+00,-1.095e+00,-1.095e+00,2.253e-01,0.000e+00,0.000e+00,-1.132e+00,-1.132e+00,2.253e-01
7000,7000,560000,0.000e+00,0.000e+00,-1.090e+00,-1.090e+00,2.321e-01,0.000e+00,0.000e+00,-1.125e+00,-1.125e+00,2.321e-01
7100,7100,568000,0.000e+00,0.000e+00,-1.082e+00,-1.082e+00,2.092e-01,0.000e+00,0.000e+00,-1.103e+00,-1.103e+00,2.092e-01
7200,7200,576000,0.000e+00,0.000e+00,-1.101e+00,-1.101e+00,2.067e-01,0.000e+00,0.000e+00,-1.104e+00,-1.104e+00,2.067e-01
7300,7300,584000,0.000e+00,0.000e+00,-1.080e+00,-1.080e+00,2.106e-01,0.000e+00,0.000e+00,-1.093e+00,-1.093e+00,2.106e-01
7400,7400,592000,0.000e+00,0.000e+00,-1.084e+00,-1.084e+00,1.949e-01,0.000e+00,0.000e+00,-1.092e+00,-1.092e+00,1.949e-01
7500,7500,600000,0.000e+00,0.000e+00,-1.099e+00,-1.099e+00,2.110e-01,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,2.110e-01
7600,7600,608000,0.000e+00,0.000e+00,-1.093e+00,-1.093e+00,1.974e-01,0.000e+00,0.000e+00,-1.080e+00,-1.080e+00,1.974e-01
7700,7700,616000,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,2.117e-01,0.000e+00,0.000e+00,-1.069e+00,-1.069e+00,2.117e-01
7800,7800,624000,0.000e+00,0.000e+00,-1.089e+00,-1.089e+00,1.918e-01,0.000e+00,0.000e+00,-1.059e+00,-1.059e+00,1.918e-01
7900,7900,632000,0.000e+00,0.000e+00,-1.091e+00,-1.091e+00,1.988e-01,0.000e+00,0.000e+00,-1.066e+00,-1.066e+00,1.988e-01
8000,8000,640000,0.000e+00,0.000e+00,-1.080e+00,-1.080e+00,2.311e-01,0.000e+00,0.000e+00,-1.071e+00,-1.071e+00,2.311e-01
8100,8100,648000,0.000e+00,0.000e+00,-1.078e+00,-1.078e+00,1.906e-01,0.000e+00,0.000e+00,-1.092e+00,-1.092e+00,1.906e-01
8200,8200,656000,0.000e+00,0.000e+00,-1.085e+00,-1.085e+00,2.890e-01,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,2.890e-01
8300,8300,664000,0.000e+00,0.000e+00,-1.083e+00,-1.083e+00,2.550e-01,0.000e+00,0.000e+00,-1.076e+00,-1.076e+00,2.550e-01
8400,8400,672000,0.000e+00,0.000e+00,-1.071e+00,-1.071e+00,2.492e-01,0.000e+00,0.000e+00,-1.085e+00,-1.085e+00,2.492e-01
8500,8500,680000,0.000e+00,0.000e+00,-1.074e+00,-1.074e+00,2.993e-01,0.000e+00,0.000e+00,-1.072e+00,-1.072e+00,2.993e-01
8600,8600,688000,0.000e+00,0.000e+00,-1.090e+00,-1.090e+00,2.870e-01,0.000e+00,0.000e+00,-1.078e+00,-1.078e+00,2.870e-01
8700,8700,696000,0.000e+00,0.000e+00,-1.098e+00,-1.098e+00,2.749e-01,0.000e+00,0.000e+00,-1.095e+00,-1.095e+00,2.749e-01
8800,8800,704000,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,2.766e-01,0.000e+00,0.000e+00,-1.071e+00,-1.071e+00,2.766e-01
8900,8900,712000,0.000e+00,0.000e+00,-1.090e+00,-1.090e+00,2.440e-01,0.000e+00,0.000e+00,-1.090e+00,-1.090e+00,2.440e-01
9000,9000,720000,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,2.682e-01,0.000e+00,0.000e+00,-1.082e+00,-1.082e+00,2.682e-01
9100,9100,728000,0.000e+00,0.000e+00,-1.097e+00,-1.097e+00,2.856e-01,0.000e+00,0.000e+00,-1.081e+00,-1.081e+00,2.856e-01
9200,9200,736000,0.000e+00,0.000e+00,-1.093e+00,-1.093e+00,2.744e-01,0.000e+00,0.000e+00,-1.075e+00,-1.075e+00,2.744e-01
9300,9300,744000,0.000e+00,0.000e+00,-1.093e+00,-1.093e+00,2.927e-01,0.000e+00,0.000e+00,-1.079e+00,-1.079e+00,2.927e-01
9400,9400,752000,0.000e+00,0.000e+00,-1.085e+00,-1.085e+00,2.846e-01,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,2.846e-01
9500,9500,760000,0.000e+00,0.000e+00,-1.084e+00,-1.084e+00,2.953e-01,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,2.953e-01
9600,9600,768000,0.000e+00,0.000e+00,-1.092e+00,-1.092e+00,2.659e-01,0.000e+00,0.000e+00,-1.085e+00,-1.085e+00,2.659e-01
9700,9700,776000,0.000e+00,0.000e+00,-1.080e+00,-1.080e+00,2.823e-01,0.000e+00,0.000e+00,-1.083e+00,-1.083e+00,2.823e-01
9800,9800,784000,0.000e+00,0.000e+00,-1.071e+00,-1.071e+00,3.347e-01,0.000e+00,0.000e+00,-1.086e+00,-1.086e+00,3.347e-01
9900,9900,792000,0.000e+00,0.000e+00,-1.081e+00,-1.081e+00,3.071e-01,0.000e+00,0.000e+00,-1.079e+00,-1.079e+00,3.071e-01
10000,10000,800000,0.000e+00,0.000e+00,-1.079e+00,-1.079e+00,2.853e-01,0.000e+00,0.000e+00,-1.096e+00,-1.096e+00,2.853e-01
10100,10100,808000,0.000e+00,0.000e+00,-1.081e+00,-1.081e+00,2.856e-01,0.000e+00,0.000e+00,-1.093e+00,-1.093e+00,2.856e-01
10200,10200,816000,0.000e+00,0.000e+00,-1.079e+00,-1.079e+00,3.165e-01,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,3.165e-01
10300,10300,824000,0.000e+00,0.000e+00,-1.084e+00,-1.084e+00,2.742e-01,0.000e+00,0.000e+00,-1.090e+00,-1.090e+00,2.742e-01
10400,10400,832000,0.000e+00,0.000e+00,-1.087e+00,-1.087e+00,2.836e-01,0.000e+00,0.000e+00,-1.094e+00,-1.094e+00,2.836e-01
10500,10500,840000,0.000e+00,0.000e+00,-1.088e+00,-1.088e+00,2.859e-01,0.000e+00,0.000e+00,-1.089e+00,-1.089e+00,2.859e-01
