episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,1.50e+02,8.61e+01,0.00e+00,-6.37e+01,8.40,8.61e+01,8.61e+01,1.43e+01,1.00e+00,1.11e+02,9.08e+01,0.00e+00,-1.98e+01,0.90,4.55e+00,9.08e+01,1.64e+00,1.00e+00,9.40e+00,9.29e+01,0.00e+00,8.35e+01,0.00,0.00e+00,9.29e+01,0.00e+00,1.00e+00,535,0.00e+00
2000,1000,100000,8.73e+01,9.06e+01,0.00e+00,3.36e+00,7.30,9.06e+01,9.06e+01,1.33e+01,1.00e+00,9.25e+01,5.29e+01,0.00e+00,-3.95e+01,0.00,0.00e+00,5.29e+01,0.00e+00,1.00e+00,2.06e-01,3.64e+01,0.00e+00,3.62e+01,0.00,0.00e+00,3.64e+01,0.00e+00,1.00e+00,1072,0.00e+00
3000,1500,150000,3.34e+00,2.13e-01,0.00e+00,-3.13e+00,5.60,2.13e-01,2.13e-01,1.97e-02,1.00e+00,3.32e-01,2.44e+00,0.00e+00,2.11e+00,0.00,0.00e+00,2.44e+00,0.00e+00,1.00e+00,4.75e-02,1.06e+00,0.00e+00,1.02e+00,0.00,0.00e+00,1.06e+00,0.00e+00,1.00e+00,1578,0.00e+00
4000,2000,200000,1.36e+01,7.50e-03,0.00e+00,-1.36e+01,6.00,7.50e-03,7.50e-03,1.26e-03,1.00e+00,3.56e-03,1.33e-02,0.00e+00,9.71e-03,0.00,0.00e+00,1.33e-02,0.00e+00,1.00e+00,1.17e-02,1.36e+01,0.00e+00,1.36e+01,0.00,0.00e+00,1.36e+01,0.00e+00,1.00e+00,2066,0.00e+00
5000,2500,250000,1.03e+00,8.85e+01,0.00e+00,8.75e+01,9.20,8.85e+01,8.85e+01,1.60e+01,1.00e+00,8.91e+01,2.20e-03,0.00e+00,-8.91e+01,0.00,0.00e+00,2.20e-03,0.00e+00,1.00e+00,4.15e-03,1.64e+00,0.00e+00,1.64e+00,0.00,0.00e+00,1.64e+00,0.00e+00,1.00e+00,2556,0.00e+00
6000,3000,300000,7.46e+01,3.06e+00,0.00e+00,-7.15e+01,8.10,3.06e+00,3.06e+00,2.24e-01,1.00e+00,9.93e+00,1.16e-03,0.00e+00,-9.93e+00,0.00,0.00e+00,1.15e-03,0.00e+00,1.00e+00,2.23e-03,8.14e+01,0.00e+00,8.14e+01,0.00,0.00e+00,8.14e+01,0.00e+00,1.00e+00,3046,0.00e+00
7000,3500,350000,2.56e+00,4.41e-01,0.00e+00,-2.12e+00,6.30,4.41e-01,4.41e-01,2.68e-02,1.00e+00,5.50e-01,1.41e-03,0.00e+00,-5.48e-01,0.30,5.49e-05,1.41e-03,4.62e-05,1.00e+00,2.88e-03,2.67e+00,0.00e+00,2.67e+00,0.00,0.00e+00,2.67e+00,0.00e+00,1.00e+00,3536,0.00e+00
8000,4000,400000,1.92e+02,9.92e+01,0.00e+00,-9.28e+01,6.50,9.92e+01,9.92e+01,1.29e+01,1.00e+00,9.87e+01,9.86e+01,0.00e+00,-5.98e-02,0.00,0.00e+00,9.86e+01,0.00e+00,1.00e+00,2.38e+00,9.52e+01,0.00e+00,9.29e+01,0.00,0.00e+00,9.52e+01,0.00e+00,1.00e+00,4026,0.00e+00
9000,4500,450000,1.96e+02,9.81e+01,0.00e+00,-9.81e+01,7.80,9.81e+01,9.81e+01,1.52e+01,1.00e+00,9.81e+01,9.81e+01,0.00e+00,-1.35e-02,0.00,0.00e+00,9.81e+01,0.00e+00,1.00e+00,6.50e-02,9.81e+01,0.00e+00,9.81e+01,0.00,0.00e+00,9.81e+01,0.00e+00,1.00e+00,4515,0.00e+00
10000,5000,500000,1.93e+02,4.19e-01,0.00e+00,-1.93e+02,9.70,4.19e-01,4.19e-01,2.74e-02,1.00e+00,1.00e+00,9.80e+01,0.00e+00,9.70e+01,0.00,0.00e+00,9.80e+01,0.00e+00,1.00e+00,7.85e-03,9.59e+01,0.00e+00,9.59e+01,0.00,0.00e+00,9.59e+01,0.00e+00,1.00e+00,5004,0.00e+00
11000,5500,550000,7.96e-01,9.96e+01,0.00e+00,9.88e+01,8.30,9.96e+01,9.96e+01,1.65e+01,1.00e+00,9.96e+01,2.52e-01,0.00e+00,-9.94e+01,0.00,0.00e+00,2.52e-01,0.00e+00,1.00e+00,4.46e-03,5.65e-01,0.00e+00,5.60e-01,0.00,0.00e+00,5.65e-01,0.00e+00,1.00e+00,5494,0.00e+00
