episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,3.00e-01,3.00e-01,2.60,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,8.00e-01,8.00e-01,0.30,0.00e+00,0.00e+00,0.00e+00,1.00e+00,219,1.10e+00
2000,1000,100000,0.00e+00,0.00e+00,5.00e-01,5.00e-01,1.20,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,8.00e-01,8.00e-01,0.40,0.00e+00,0.00e+00,0.00e+00,1.00e+00,413,1.30e+00
3000,1500,150000,0.00e+00,0.00e+00,3.00e-01,3.00e-01,2.50,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.80e+00,1.80e+00,0.20,0.00e+00,0.00e+00,0.00e+00,1.00e+00,600,2.10e+00
4000,2000,200000,0.00e+00,0.00e+00,3.00e-01,3.00e-01,2.40,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.20e+00,1.20e+00,0.40,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-6412,1.50e+00
5000,2500,250000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,3.50,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.40e+00,1.40e+00,0.60,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-6226,1.80e+00
6000,3000,300000,0.00e+00,0.00e+00,6.00e-01,6.00e-01,2.50,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,9.00e-01,9.00e-01,0.50,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-6039,1.50e+00
7000,3500,350000,0.00e+00,0.00e+00,1.00e-01,1.00e-01,1.30,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,8.00e-01,8.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-5852,9.00e-01
8000,4000,400000,0.00e+00,0.00e+00,4.00e-01,4.00e-01,2.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,4.00e-01,4.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-5665,8.00e-01
9000,4500,450000,0.00e+00,0.00e+00,2.00e-01,2.00e-01,2.70,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,9.00e-01,9.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-5478,1.10e+00
10000,5000,500000,0.00e+00,0.00e+00,1.00e-01,1.00e-01,1.90,0.00e+00,0.00e+00,0.00e+00,1.00e+00,0.00e+00,0.00e+00,1.30e+00,1.30e+00,0.10,0.00e+00,0.00e+00,0.00e+00,1.00e+00,-5292,1.40e+00
