episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,2.33e-01,2.33e-01,8.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.33e-01,2.33e-01,6.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.33e-01,2.33e-01,2.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,320,7.00e-01
2000,1000,100000,0.00e+00,0.00e+00,7.67e-01,7.67e-01,4.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,7.67e-01,7.67e-01,5.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,7.67e-01,7.67e-01,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,649,2.30e+00
3000,1500,150000,0.00e+00,0.00e+00,1.23e+00,1.23e+00,13.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.23e+00,1.23e+00,3.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.23e+00,1.23e+00,0.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,950,3.70e+00
4000,2000,200000,0.00e+00,0.00e+00,1.07e+00,1.07e+00,7.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.07e+00,1.07e+00,0.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.07e+00,1.07e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1247,3.20e+00
5000,2500,250000,0.00e+00,0.00e+00,1.37e+00,1.37e+00,12.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.37e+00,1.37e+00,1.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.37e+00,1.37e+00,0.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1550,4.10e+00
6000,3000,300000,0.00e+00,0.00e+00,1.13e+00,1.13e+00,11.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.13e+00,1.13e+00,2.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.13e+00,1.13e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1845,3.40e+00
7000,3500,350000,0.00e+00,0.00e+00,1.40e+00,1.40e+00,8.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.40e+00,1.40e+00,0.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.40e+00,1.40e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2138,4.20e+00
8000,4000,400000,0.00e+00,0.00e+00,1.37e+00,1.37e+00,12.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.37e+00,1.37e+00,1.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.37e+00,1.37e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2433,4.10e+00
9000,4500,450000,0.00e+00,0.00e+00,1.30e+00,1.30e+00,12.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.30e+00,1.30e+00,2.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.30e+00,1.30e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2726,3.90e+00
10000,5000,500000,0.00e+00,0.00e+00,1.60e+00,1.60e+00,11.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.60e+00,1.60e+00,1.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.60e+00,1.60e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,3019,4.80e+00
11000,5500,550000,0.00e+00,0.00e+00,1.03e+00,1.03e+00,8.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.03e+00,1.03e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.03e+00,1.03e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,3313,3.10e+00
12000,6000,600000,0.00e+00,0.00e+00,1.23e+00,1.23e+00,15.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.23e+00,1.23e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.23e+00,1.23e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,3608,3.70e+00
13000,6500,650000,0.00e+00,0.00e+00,1.93e+00,1.93e+00,15.60,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.93e+00,1.93e+00,0.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.93e+00,1.93e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,3901,5.80e+00
14000,7000,700000,0.00e+00,0.00e+00,1.53e+00,1.53e+00,13.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.53e+00,1.53e+00,0.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.53e+00,1.53e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,4195,4.60e+00
