episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
3800,3800,38000,0.000e+00,0.000e+00,-1.961e+00,-1.961e+00,1.000e+00,0.000e+00,0.000e+00,-1.991e+00,-1.991e+00,1.000e+00
3900,3900,39000,0.000e+00,0.000e+00,-1.997e+00,-1.997e+00,1.000e+00,0.000e+00,0.000e+00,-1.955e+00,-1.955e+00,1.000e+00
4000,4000,40000,0.000e+00,0.000e+00,-1.980e+00,-1.980e+00,1.000e+00,0.000e+00,0.000e+00,-1.974e+00,-1.974e+00,1.000e+00
4100,4100,41000,0.000e+00,0.000e+00,-1.984e+00,-1.984e+00,1.000e+00,0.000e+00,0.000e+00,-1.984e+00,-1.984e+00,1.000e+00
4200,4200,42000,0.000e+00,0.000e+00,-1.992e+00,-1.992e+00,1.000e+00,0.000e+00,0.000e+00,-1.968e+00,-1.968e+00,1.000e+00
4300,4300,43000,0.000e+00,0.000e+00,-1.978e+00,-1.978e+00,1.000e+00,0.000e+00,0.000e+00,-1.996e+00,-1.996e+00,1.000e+00
4400,4400,44000,0.000e+00,0.000e+00,-1.975e+00,-1.975e+00,1.000e+00,0.000e+00,0.000e+00,-1.993e+00,-1.993e+00,1.000e+00
4500,4500,45000,0.000e+00,0.000e+00,-1.978e+00,-1.978e+00,1.000e+00,0.000e+00,0.000e+00,-1.996e+00,-1.996e+00,1.000e+00
4600,4600,46000,0.000e+00,0.000e+00,-1.978e+00,-1.978e+00,1.000e+00,0.000e+00,0.000e+00,-1.990e+00,-1.990e+00,1.000e+00
4700,4700,47000,0.000e+00,0.000e+00,-1.972e+00,-1.972e+00,1.000e+00,0.000e+00,0.000e+00,-1.996e+00,-1.996e+00,1.000e+00
4800,4800,48000,0.000e+00,0.000e+00,-1.952e+00,-1.952e+00,1.000e+00,0.000e+00,0.000e+00,-2.012e+00,-2.012e+00,1.000e+00
4900,4900,49000,0.000e+00,0.000e+00,-1.988e+00,-1.988e+00,1.000e+00,0.000e+00,0.000e+00,-1.982e+00,-1.982e+00,1.000e+00
5000,5000,50000,0.000e+00,0.000e+00,-1.972e+00,-1.972e+00,1.000e+00,0.000e+00,0.000e+00,-1.978e+00,-1.978e+00,1.000e+00
5100,5100,51000,0.000e+00,0.000e+00,-1.972e+00,-1.972e+00,1.000e+00,0.000e+00,0.000e+00,-1.996e+00,-1.996e+00,1.000e+00
5200,5200,52000,0.000e+00,0.000e+00,-1.986e+00,-1.986e+00,1.000e+00,0.000e+00,0.000e+00,-1.974e+00,-1.974e+00,1.000e+00
5300,5300,53000,0.000e+00,0.000e+00,-1.990e+00,-1.990e+00,1.000e+00,0.000e+00,0.000e+00,-1.984e+00,-1.984e+00,1.000e+00
5400,5400,54000,0.000e+00,0.000e+00,-2.002e+00,-2.002e+00,1.000e+00,0.000e+00,0.000e+00,-1.954e+00,-1.954e+00,1.000e+00
5500,5500,55000,0.000e+00,0.000e+00,-1.994e+00,-1.994e+00,1.000e+00,0.000e+00,0.000e+00,-1.988e+00,-1.988e+00,1.000e+00
5600,5600,56000,0.000e+00,0.000e+00,-1.972e+00,-1.972e+00,1.000e+00,0.000e+00,0.000e+00,-1.990e+00,-1.990e+00,1.000e+00
5700,5700,57000,0.000e+00,0.000e+00,-1.963e+00,-1.963e+00,1.000e+00,0.000e+00,0.000e+00,-1.993e+00,-1.993e+00,1.000e+00
5800,5800,58000,0.000e+00,0.000e+00,-1.997e+00,-1.997e+00,1.000e+00,0.000e+00,0.000e+00,-1.973e+00,-1.973e+00,1.000e+00
5900,5900,59000,0.000e+00,0.000e+00,-1.996e+00,-1.996e+00,1.000e+00,0.000e+00,0.000e+00,-1.960e+00,-1.960e+00,1.000e+00
6000,6000,60000,0.000e+00,0.000e+00,-2.008e+00,-2.008e+00,1.000e+00,0.000e+00,0.000e+00,-1.966e+00,-1.966e+00,1.000e+00
6100,6100,61000,0.000e+00,0.000e+00,-2.017e+00,-2.017e+00,1.000e+00,0.000e+00,0.000e+00,-1.939e+00,-1.939e+00,1.000e+00
6200,6200,62000,0.000e+00,0.000e+00,-1.995e+00,-1.995e+00,1.000e+00,0.000e+00,0.000e+00,-1.971e+00,-1.971e+00,1.000e+00
6300,6300,63000,0.000e+00,0.000e+00,-1.994e+00,-1.994e+00,1.000e+00,0.000e+00,0.000e+00,-1.970e+00,-1.970e+00,1.000e+00
6400,6400,64000,0.000e+00,0.000e+00,-1.986e+00,-1.986e+00,1.000e+00,0.000e+00,0.000e+00,-1.980e+00,-1.980e+00,1.000e+00
6500,6500,65000,0.000e+00,0.000e+00,-2.004e+00,-2.004e+00,1.000e+00,0.000e+00,0.000e+00,-1.968e+00,-1.968e+00,1.000e+00
6600,6600,66000,0.000e+00,0.000e+00,-1.970e+00,-1.970e+00,1.000e+00,0.000e+00,0.000e+00,-1.988e+00,-1.988e+00,1.000e+00
6700,6700,67000,0.000e+00,0.000e+00,-1.972e+00,-1.972e+00,1.000e+00,0.000e+00,0.000e+00,-1.978e+00,-1.978e+00,1.000e+00
6800,6800,68000,0.000e+00,0.000e+00,-1.983e+00,-1.983e+00,1.000e+00,0.000e+00,0.000e+00,-1.959e+00,-1.959e+00,1.000e+00
6900,6900,69000,0.000e+00,0.000e+00,-1.978e+00,-1.978e+00,1.000e+00,0.000e+00,0.000e+00,-1.972e+00,-1.972e+00,1.000e+00
7000,7000,70000,0.000e+00,0.000e+00,-1.981e+00,-1.981e+00,1.000e+00,0.000e+00,0.000e+00,-1.939e+00,-1.939e+00,1.000e+00
7100,7100,71000,0.000e+00,0.000e+00,-2.008e+00,-2.008e+00,1.000e+00,0.000e+00,0.000e+00,-1.948e+00,-1.948e+00,1.000e+00
7200,7200,72000,0.000e+00,0.000e+00,-2.012e+00,-2.012e+00,1.000e+00,0.000e+00,0.000e+00,-1.922e+00,-1.922e+00,1.000e+00
7300,7300,73000,0.000e+00,0.000e+00,-1.985e+00,-1.985e+00,1.000e+00,0.000e+00,0.000e+00,-1.967e+00,-1.967e+00,1.000e+00
7400,7400,74000,0.000e+00,0.000e+00,-1.983e+00,-1.983e+00,1.000e+00,0.000e+00,0.000e+00,-1.941e+00,-1.941e+00,1.000e+00
7500,7500,75000,0.000e+00,0.000e+00,-2.015e+00,-2.015e+00,1.000e+00,0.000e+00,0.000e+00,-1.937e+00,-1.937e+00,1.000e+00
7600,7600,76000,0.000e+00,0.000e+00,-2.001e+00,-2.001e+00,1.000e+00,0.000e+00,0.000e+00,-1.947e+00,-1.947e+00,1.000e+00
7700,7700,77000,0.000e+00,0.000e+00,-1.999e+00,-1.999e+00,1.000e+00,0.000e+00,0.000e+00,-1.939e+00,-1.939e+00,1.000e+00
7800,7800,78000,0.000e+00,0.000e+00,-2.003e+00,-2.003e+00,1.000e+00,0.000e+00,0.000e+00,-1.931e+00,-1.931e+00,1.000e+00
7900,7900,79000,0.000e+00,0.000e+00,-1.973e+00,-1.973e+00,1.000e+00,0.000e+00,0.000e+00,-1.967e+00,-1.967e+00,1.000e+00
