episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,1.23e+00,1.23e+00,7.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.23e+00,1.23e+00,3.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.23e+00,1.23e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,318,3.70e+00
2000,1000,100000,0.00e+00,0.00e+00,8.00e-01,8.00e-01,6.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,8.00e-01,8.00e-01,2.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,8.00e-01,8.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,645,2.40e+00
3000,1500,150000,0.00e+00,0.00e+00,1.50e+00,1.50e+00,8.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,2.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,945,4.50e+00
4000,2000,200000,0.00e+00,0.00e+00,1.20e+00,1.20e+00,8.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.20e+00,1.20e+00,5.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.20e+00,1.20e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1242,3.60e+00
5000,2500,250000,0.00e+00,0.00e+00,9.67e-01,9.67e-01,8.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.67e-01,9.67e-01,1.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.67e-01,9.67e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1544,2.90e+00
6000,3000,300000,0.00e+00,0.00e+00,9.67e-01,9.67e-01,7.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.67e-01,9.67e-01,3.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.67e-01,9.67e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1838,2.90e+00
7000,3500,350000,0.00e+00,0.00e+00,1.13e+00,1.13e+00,12.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.13e+00,1.13e+00,1.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.13e+00,1.13e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2131,3.40e+00
8000,4000,400000,0.00e+00,0.00e+00,1.97e+00,1.97e+00,17.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.97e+00,1.97e+00,2.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.97e+00,1.97e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2425,5.90e+00
9000,4500,450000,0.00e+00,0.00e+00,1.97e+00,1.97e+00,13.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.97e+00,1.97e+00,2.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.97e+00,1.97e+00,0.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2718,5.90e+00
10000,5000,500000,0.00e+00,0.00e+00,1.73e+00,1.73e+00,13.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,1.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,3011,5.20e+00
