episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,8.44e+01,9.79e+01,0.00e+00,1.36e+01,13.70,9.79e+01,9.79e+01,2.69e+01,1.00e+00,1.00e+02,7.48e+01,1.20e+00,-2.40e+01,3.20,1.95e+01,1.80e+01,4.57e+00,1.00e+00,1.59e+02,1.71e+02,0.00e+00,1.16e+01,0.00,0.00e+00,1.70e+02,0.00e+00,1.00e+00,528,1.20e+00
2000,1000,100000,8.96e+01,9.51e+01,0.00e+00,5.48e+00,7.40,9.51e+01,9.51e+01,1.40e+01,1.00e+00,8.37e+01,9.61e+01,0.00e+00,1.24e+01,0.00,0.00e+00,9.61e+01,0.00e+00,1.00e+00,1.83e+02,1.65e+02,0.00e+00,-1.78e+01,0.00,0.00e+00,1.65e+02,0.00e+00,1.00e+00,1065,0.00e+00
3000,1500,150000,3.59e+01,6.48e-02,0.00e+00,-3.59e+01,9.90,6.48e-02,6.48e-02,1.01e-02,1.00e+00,4.68e-05,4.23e+00,0.00e+00,4.23e+00,0.00,0.00e+00,4.22e+00,0.00e+00,1.00e+00,4.23e+00,3.59e+01,0.00e+00,3.17e+01,0.00,0.00e+00,3.59e+01,0.00e+00,1.00e+00,1571,0.00e+00
4000,2000,200000,6.38e-03,9.74e+01,0.00e+00,9.73e+01,8.60,9.74e+01,9.74e+01,1.67e+01,1.00e+00,1.35e-05,8.27e+01,0.00e+00,8.27e+01,0.00,0.00e+00,8.27e+01,0.00e+00,1.00e+00,1.80e+02,1.05e-05,0.00e+00,-1.80e+02,0.00,0.00e+00,1.05e-05,0.00e+00,1.00e+00,2060,0.00e+00
5000,2500,250000,9.56e+01,9.93e+01,0.00e+00,3.74e+00,6.70,9.93e+01,9.93e+01,1.33e+01,1.00e+00,5.44e-06,7.43e+01,0.00e+00,7.43e+01,0.00,0.00e+00,7.43e+01,0.00e+00,1.00e+00,1.74e+02,9.56e+01,0.00e+00,-7.81e+01,0.00,0.00e+00,9.55e+01,0.00e+00,1.00e+00,2548,0.00e+00
6000,3000,300000,7.90e+01,9.35e+01,0.00e+00,1.45e+01,8.90,9.35e+01,9.35e+01,1.67e+01,1.00e+00,3.08e-06,8.54e+01,0.00e+00,8.54e+01,0.00,0.00e+00,8.54e+01,0.00e+00,1.00e+00,1.79e+02,7.90e+01,0.00e+00,-9.98e+01,0.00,0.00e+00,7.90e+01,0.00e+00,1.00e+00,3038,0.00e+00
7000,3500,350000,6.83e+01,1.16e+01,0.00e+00,-5.67e+01,8.90,1.16e+01,1.16e+01,2.12e+00,1.00e+00,2.02e-06,9.43e+01,0.00e+00,9.43e+01,0.00,0.00e+00,9.43e+01,0.00e+00,1.00e+00,1.06e+02,6.83e+01,0.00e+00,-3.76e+01,0.00,0.00e+00,6.83e+01,0.00e+00,1.00e+00,3527,0.00e+00
8000,4000,400000,2.24e-01,8.39e-04,0.00e+00,-2.23e-01,8.50,8.39e-04,8.39e-04,9.03e-05,1.00e+00,1.54e-06,2.10e+00,0.00e+00,2.10e+00,0.00,0.00e+00,2.10e+00,0.00e+00,1.00e+00,2.10e+00,2.23e-01,0.00e+00,-1.88e+00,0.00,0.00e+00,2.23e-01,0.00e+00,1.00e+00,4018,0.00e+00
9000,4500,450000,1.02e+01,3.36e-06,0.00e+00,-1.02e+01,12.20,3.36e-06,3.36e-06,5.45e-07,1.00e+00,1.43e-06,8.46e-04,0.00e+00,8.44e-04,0.00,0.00e+00,8.46e-04,0.00e+00,1.00e+00,8.47e-04,1.02e+01,0.00e+00,1.02e+01,0.00,0.00e+00,1.02e+01,0.00e+00,1.00e+00,4507,0.00e+00
10000,5000,500000,2.92e+00,6.22e-07,0.00e+00,-2.92e+00,6.60,6.22e-07,6.22e-07,1.80e-07,1.00e+00,1.02e-06,1.27e-04,0.00e+00,1.26e-04,0.00,0.00e+00,1.27e-04,0.00e+00,1.00e+00,1.27e-04,2.92e+00,0.00e+00,2.92e+00,0.00,0.00e+00,2.92e+00,0.00e+00,1.00e+00,4996,0.00e+00
11000,5500,550000,1.59e+00,4.73e-07,0.00e+00,-1.59e+00,8.10,4.73e-07,4.73e-07,1.41e-07,1.00e+00,8.41e-07,8.57e-06,0.00e+00,7.73e-06,0.00,0.00e+00,8.57e-06,0.00e+00,1.00e+00,8.57e-06,1.59e+00,0.00e+00,1.59e+00,0.00,0.00e+00,1.59e+00,0.00e+00,1.00e+00,5485,0.00e+00
12000,6000,600000,2.81e+01,4.94e+01,0.00e+00,2.13e+01,5.70,4.46e+01,4.94e+01,5.87e+00,1.00e+00,7.16e-07,9.96e+01,0.00e+00,9.96e+01,0.00,0.00e+00,9.96e+01,0.00e+00,1.00e+00,1.49e+02,2.81e+01,0.00e+00,-1.21e+02,0.00,0.00e+00,2.81e+01,0.00e+00,1.00e+00,5973,0.00e+00
13000,6500,650000,2.06e+00,6.03e+01,0.00e+00,5.83e+01,8.10,6.03e+01,6.03e+01,1.07e+01,1.00e+00,5.02e-07,5.73e+01,0.00e+00,5.73e+01,0.00,0.00e+00,5.73e+01,0.00e+00,1.00e+00,1.18e+02,2.06e+00,0.00e+00,-1.16e+02,0.00,0.00e+00,2.06e+00,0.00e+00,1.00e+00,6463,0.00e+00
14000,7000,700000,2.23e-03,5.81e+00,0.00e+00,5.81e+00,6.00,5.81e+00,5.81e+00,6.11e-01,1.00e+00,4.21e-07,9.17e+01,0.00e+00,9.17e+01,0.00,0.00e+00,9.17e+01,0.00e+00,1.00e+00,9.75e+01,2.23e-03,0.00e+00,-9.75e+01,0.00,0.00e+00,2.23e-03,0.00e+00,1.00e+00,6953,0.00e+00
15000,7500,750000,9.98e+01,4.77e+00,0.00e+00,-9.50e+01,8.50,4.77e+00,4.77e+00,7.51e-01,1.00e+00,4.07e-07,7.27e+01,0.00e+00,7.27e+01,0.00,0.00e+00,7.27e+01,0.00e+00,1.00e+00,7.75e+01,9.98e+01,0.00e+00,2.23e+01,0.00,0.00e+00,9.98e+01,0.00e+00,1.00e+00,7443,0.00e+00
16000,8000,800000,1.99e+00,1.13e+01,0.00e+00,9.26e+00,7.60,1.13e+01,1.13e+01,1.53e+00,1.00e+00,3.91e-07,4.43e+01,0.00e+00,4.43e+01,0.00,0.00e+00,4.43e+01,0.00e+00,1.00e+00,5.56e+01,1.99e+00,0.00e+00,-5.36e+01,0.00,0.00e+00,1.99e+00,0.00e+00,1.00e+00,7932,0.00e+00
17000,8500,850000,2.00e+00,3.22e+01,0.00e+00,3.02e+01,6.00,3.22e+01,3.22e+01,3.38e+00,1.00e+00,2.65e-07,5.48e+01,0.00e+00,5.48e+01,0.00,0.00e+00,5.48e+01,0.00e+00,1.00e+00,8.70e+01,2.00e+00,0.00e+00,-8.50e+01,0.00,0.00e+00,2.00e+00,0.00e+00,1.00e+00,8420,0.00e+00
18000,9000,900000,6.10e-05,2.98e+01,0.00e+00,2.98e+01,8.60,2.98e+01,2.98e+01,5.13e+00,1.00e+00,2.67e-07,4.33e+01,0.00e+00,4.33e+01,0.00,0.00e+00,4.33e+01,0.00e+00,1.00e+00,7.31e+01,6.02e-05,0.00e+00,-7.31e+01,0.00,0.00e+00,6.02e-05,0.00e+00,1.00e+00,8908,0.00e+00
19000,9500,950000,3.49e-03,5.00e+01,0.00e+00,5.00e+01,7.10,5.00e+01,5.00e+01,7.10e+00,1.00e+00,2.41e-07,5.00e+01,0.00e+00,5.00e+01,0.00,0.00e+00,5.00e+01,0.00e+00,1.00e+00,1.00e+02,3.49e-03,0.00e+00,-1.00e+02,0.00,0.00e+00,3.49e-03,0.00e+00,1.00e+00,9397,0.00e+00
20000,10000,1000000,1.65e+00,5.00e+01,0.00e+00,4.83e+01,7.40,5.00e+01,5.00e+01,7.40e+00,1.00e+00,2.35e-07,5.00e+01,0.00e+00,5.00e+01,0.00,0.00e+00,5.00e+01,0.00e+00,1.00e+00,1.00e+02,1.65e+00,0.00e+00,-9.83e+01,0.00,0.00e+00,1.65e+00,0.00e+00,1.00e+00,9888,0.00e+00
21000,10500,1050000,4.17e+00,5.00e+01,0.00e+00,4.58e+01,7.90,5.00e+01,5.00e+01,7.90e+00,1.00e+00,1.99e-07,5.00e+01,0.00e+00,5.00e+01,0.00,0.00e+00,5.00e+01,0.00e+00,1.00e+00,1.00e+02,4.17e+00,0.00e+00,-9.58e+01,0.00,0.00e+00,4.17e+00,0.00e+00,1.00e+00,10378,0.00e+00
22000,11000,1100000,4.37e+01,5.00e+01,0.00e+00,6.33e+00,7.90,5.00e+01,5.00e+01,7.90e+00,1.00e+00,1.73e-07,5.00e+01,0.00e+00,5.00e+01,0.00,0.00e+00,5.00e+01,0.00e+00,1.00e+00,1.00e+02,4.37e+01,0.00e+00,-5.63e+01,0.00,0.00e+00,4.37e+01,0.00e+00,1.00e+00,10867,0.00e+00
23000,11500,1150000,9.93e+01,5.00e+01,0.00e+00,-4.93e+01,6.20,5.00e+01,5.00e+01,6.20e+00,1.00e+00,1.55e-07,5.00e+01,0.00e+00,5.00e+01,0.00,0.00e+00,5.00e+01,0.00e+00,1.00e+00,1.00e+02,9.93e+01,0.00e+00,-7.38e-01,0.00,0.00e+00,9.93e+01,0.00e+00,1.00e+00,11356,0.00e+00
24000,12000,1200000,1.00e+02,5.00e+01,0.00e+00,-5.01e+01,7.40,5.00e+01,5.00e+01,7.40e+00,1.00e+00,1.49e-07,5.02e+01,0.00e+00,5.02e+01,0.00,0.00e+00,5.02e+01,0.00e+00,1.00e+00,1.00e+02,9.99e+01,0.00e+00,-6.36e-02,0.00,0.00e+00,9.99e+01,0.00e+00,1.00e+00,11845,0.00e+00
25000,12500,1250000,3.01e+00,5.00e+01,0.00e+00,4.70e+01,7.70,5.00e+01,5.00e+01,7.70e+00,1.00e+00,1.29e-07,5.01e+01,0.00e+00,5.01e+01,0.00,0.00e+00,5.01e+01,0.00e+00,1.00e+00,1.00e+02,2.95e+00,0.00e+00,-9.71e+01,0.00,0.00e+00,2.95e+00,0.00e+00,1.00e+00,12335,0.00e+00
26000,13000,1300000,4.57e+00,5.00e+01,0.00e+00,4.54e+01,11.10,5.00e+01,5.00e+01,1.11e+01,1.00e+00,1.28e-07,5.01e+01,0.00e+00,5.01e+01,0.00,0.00e+00,5.01e+01,0.00e+00,1.00e+00,1.00e+02,4.49e+00,0.00e+00,-9.55e+01,0.00,0.00e+00,4.49e+00,0.00e+00,1.00e+00,12826,0.00e+00
27000,13500,1350000,2.21e+00,5.00e+01,0.00e+00,4.78e+01,8.90,5.00e+01,5.00e+01,8.90e+00,1.00e+00,1.14e-07,5.00e+01,0.00e+00,5.00e+01,0.00,0.00e+00,5.00e+01,0.00e+00,1.00e+00,1.00e+02,2.20e+00,0.00e+00,-9.78e+01,0.00,0.00e+00,2.20e+00,0.00e+00,1.00e+00,13316,0.00e+00
