episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,1.05e+00,1.05e+00,3.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.05e+00,1.05e+00,0.40,0.00e+00,0.00e+00,0.00e+00,186,2.10e+00
2000,1000,100000,0.00e+00,0.00e+00,6.50e-01,6.50e-01,3.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.50e-01,6.50e-01,0.70,0.00e+00,0.00e+00,0.00e+00,371,1.30e+00
3000,1500,150000,0.00e+00,0.00e+00,5.50e-01,5.50e-01,4.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.50e-01,5.50e-01,0.10,0.00e+00,0.00e+00,0.00e+00,553,1.10e+00
4000,2000,200000,0.00e+00,0.00e+00,1.10e+00,1.10e+00,5.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.10e+00,1.10e+00,0.10,0.00e+00,0.00e+00,0.00e+00,735,2.20e+00
5000,2500,250000,0.00e+00,0.00e+00,1.55e+00,1.55e+00,9.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.55e+00,1.55e+00,0.50,0.00e+00,0.00e+00,0.00e+00,917,3.10e+00
6000,3000,300000,0.00e+00,0.00e+00,2.55e+00,2.55e+00,12.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.55e+00,2.55e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1103,5.10e+00
7000,3500,350000,0.00e+00,0.00e+00,2.95e+00,2.95e+00,11.70,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.95e+00,2.95e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1286,5.90e+00
8000,4000,400000,0.00e+00,0.00e+00,4.40e+00,4.40e+00,20.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.40e+00,4.40e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1470,8.80e+00
9000,4500,450000,0.00e+00,0.00e+00,6.20e+00,6.20e+00,24.20,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.20e+00,6.20e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1662,1.24e+01
10000,5000,500000,0.00e+00,0.00e+00,6.55e+00,6.55e+00,22.90,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.55e+00,6.55e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1848,1.31e+01
