episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,5.60e-01,5.60e-01,4.00,0.00e+00,0.00e+00,0.00e+00,6.20e-01,0.00e+00,0.00e+00,4.90e-01,4.90e-01,2.40,0.00e+00,0.00e+00,0.00e+00,6.20e-01,0.00e+00,0.00e+00,1.20e+00,1.20e+00,0.20,0.00e+00,0.00e+00,0.00e+00,6.20e-01,304,2.25e+00
2000,1000,100000,0.00e+00,0.00e+00,2.30e-01,2.30e-01,6.10,0.00e+00,0.00e+00,0.00e+00,8.40e-01,0.00e+00,0.00e+00,8.07e-01,8.07e-01,1.70,0.00e+00,0.00e+00,0.00e+00,8.40e-01,0.00e+00,0.00e+00,1.49e+00,1.49e+00,0.00,0.00e+00,0.00e+00,0.00e+00,8.40e-01,606,2.53e+00
3000,1500,150000,0.00e+00,0.00e+00,4.20e-01,4.20e-01,4.30,0.00e+00,0.00e+00,0.00e+00,7.80e-01,0.00e+00,0.00e+00,1.00e+00,1.00e+00,3.40,0.00e+00,0.00e+00,0.00e+00,7.80e-01,0.00e+00,0.00e+00,1.76e+00,1.76e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.80e-01,905,3.18e+00
4000,2000,200000,0.00e+00,0.00e+00,4.70e-01,4.70e-01,6.70,0.00e+00,0.00e+00,0.00e+00,7.60e-01,0.00e+00,0.00e+00,7.59e-01,7.59e-01,2.60,0.00e+00,0.00e+00,0.00e+00,7.60e-01,0.00e+00,0.00e+00,2.91e+00,2.91e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.60e-01,1185,4.14e+00
5000,2500,250000,0.00e+00,0.00e+00,6.30e-01,6.30e-01,3.40,0.00e+00,0.00e+00,0.00e+00,8.20e-01,0.00e+00,0.00e+00,3.23e-01,3.23e-01,2.80,0.00e+00,0.00e+00,0.00e+00,8.20e-01,0.00e+00,0.00e+00,1.47e+00,1.47e+00,0.00,0.00e+00,0.00e+00,0.00e+00,8.20e-01,1466,2.42e+00
6000,3000,300000,0.00e+00,0.00e+00,5.90e-01,5.90e-01,3.70,0.00e+00,0.00e+00,0.00e+00,8.40e-01,0.00e+00,0.00e+00,6.29e-01,6.29e-01,0.70,0.00e+00,0.00e+00,0.00e+00,8.40e-01,0.00e+00,0.00e+00,1.44e+00,1.44e+00,0.10,0.00e+00,0.00e+00,0.00e+00,8.40e-01,1745,2.66e+00
7000,3500,350000,0.00e+00,0.00e+00,2.00e-01,2.00e-01,4.30,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,1.20e+00,1.20e+00,2.40,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,1.03e+00,1.03e+00,0.00,0.00e+00,0.00e+00,0.00e+00,8.60e-01,2025,2.43e+00
8000,4000,400000,0.00e+00,0.00e+00,5.90e-01,5.90e-01,1.50,0.00e+00,0.00e+00,0.00e+00,7.60e-01,0.00e+00,0.00e+00,3.59e-01,3.59e-01,2.10,0.00e+00,0.00e+00,0.00e+00,7.60e-01,0.00e+00,0.00e+00,1.18e+00,1.18e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.60e-01,2305,2.13e+00
9000,4500,450000,0.00e+00,0.00e+00,2.60e-01,2.60e-01,3.30,0.00e+00,0.00e+00,0.00e+00,7.20e-01,0.00e+00,0.00e+00,9.22e-01,9.22e-01,1.00,0.00e+00,0.00e+00,0.00e+00,7.20e-01,0.00e+00,0.00e+00,1.27e+00,1.27e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.20e-01,2583,2.45e+00
10000,5000,500000,0.00e+00,0.00e+00,2.70e-01,2.70e-01,3.90,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,8.81e-01,8.81e-01,1.00,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,1.66e+00,1.66e+00,0.00,0.00e+00,0.00e+00,0.00e+00,8.60e-01,2869,2.81e+00
11000,5500,550000,0.00e+00,0.00e+00,3.30e-01,3.30e-01,4.60,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,6.05e-01,6.05e-01,2.10,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,2.23e+00,2.23e+00,0.00,0.00e+00,0.00e+00,0.00e+00,8.60e-01,3148,3.16e+00
12000,6000,600000,0.00e+00,0.00e+00,5.80e-01,5.80e-01,7.10,0.00e+00,0.00e+00,0.00e+00,6.40e-01,0.00e+00,0.00e+00,1.71e+00,1.71e+00,0.70,0.00e+00,0.00e+00,0.00e+00,6.40e-01,0.00e+00,0.00e+00,2.21e+00,2.21e+00,0.00,0.00e+00,0.00e+00,0.00e+00,6.40e-01,3427,4.49e+00
13000,6500,650000,0.00e+00,0.00e+00,4.80e-01,4.80e-01,4.40,0.00e+00,0.00e+00,0.00e+00,7.60e-01,0.00e+00,0.00e+00,3.80e-01,3.80e-01,1.10,0.00e+00,0.00e+00,0.00e+00,7.60e-01,0.00e+00,0.00e+00,1.73e+00,1.73e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.60e-01,3705,2.59e+00
