episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,4.88e+01,2.79e+01,0.00e+00,-2.09e+01,9.10,2.79e+01,2.79e+01,5.66e+00,1.00e+00,6.50e+00,7.29e+00,0.00e+00,7.89e-01,0.00,0.00e+00,7.29e+00,0.00e+00,1.00e+00,3.49e+01,5.50e+01,0.00e+00,2.01e+01,0.00,0.00e+00,5.50e+01,0.00e+00,1.00e+00,531,0.00e+00
2000,1000,100000,5.91e-04,2.24e+00,0.00e+00,2.24e+00,16.30,2.24e+00,2.24e+00,7.95e-01,1.00e+00,2.44e-04,1.04e+00,0.00e+00,1.04e+00,4.10,1.84e-01,1.02e+00,1.01e-01,1.00e+00,3.28e+00,5.90e-04,0.00e+00,-3.28e+00,0.00,0.00e+00,5.90e-04,0.00e+00,1.00e+00,1068,0.00e+00
3000,1500,150000,5.98e-05,1.42e-01,0.00e+00,1.42e-01,9.00,1.42e-01,1.42e-01,2.13e-02,1.00e+00,1.19e-02,5.57e-03,2.40e+00,2.39e+00,0.00,0.00e+00,1.73e-03,0.00e+00,1.00e+00,1.36e-01,4.81e-04,2.50e+00,2.36e+00,0.00,0.00e+00,3.23e-04,0.00e+00,1.00e+00,1569,4.90e+00
4000,2000,200000,4.08e-05,1.14e-02,0.00e+00,1.13e-02,7.80,1.14e-02,1.14e-02,1.38e-03,1.00e+00,2.65e-03,5.92e-04,2.40e+00,2.40e+00,0.00,3.00e-06,1.23e-04,0.00e+00,1.00e+00,9.45e-03,1.61e-04,3.10e+00,3.09e+00,0.00,0.00e+00,1.17e-04,0.00e+00,1.00e+00,2050,5.50e+00
5000,2500,250000,1.96e-04,5.97e-04,0.00e+00,4.01e-04,21.30,4.64e-04,5.91e-04,2.97e-04,1.00e+00,8.89e-05,1.51e-04,3.40e+00,3.40e+00,0.10,2.48e-06,7.90e-05,6.43e-07,1.00e+00,5.85e-04,1.21e-04,6.00e+00,6.00e+00,0.00,0.00e+00,6.96e-05,0.00e+00,1.00e+00,2531,9.40e+00
6000,3000,300000,3.32e+00,9.61e+01,0.00e+00,9.28e+01,10.00,9.61e+01,9.61e+01,1.84e+01,1.00e+00,1.78e+02,1.23e-04,3.00e+00,-1.75e+02,0.00,0.00e+00,6.65e-05,0.00e+00,1.00e+00,1.53e-07,8.56e+01,0.00e+00,8.56e+01,0.00,0.00e+00,8.56e+01,0.00e+00,1.00e+00,3007,3.00e+00
7000,3500,350000,9.33e-04,7.03e+01,0.00e+00,7.03e+01,10.40,7.03e+01,7.03e+01,1.49e+01,1.00e+00,9.48e+01,2.40e-05,3.60e+00,-9.12e+01,0.00,0.00e+00,1.14e-05,0.00e+00,1.00e+00,1.34e-07,2.45e+01,0.00e+00,2.45e+01,0.00,0.00e+00,2.45e+01,0.00e+00,1.00e+00,3492,3.60e+00
8000,4000,400000,1.16e-04,8.15e-01,0.00e+00,8.15e-01,11.80,8.15e-01,8.15e-01,4.39e-01,1.00e+00,7.03e+00,1.57e-07,4.10e+00,-2.93e+00,1.00,1.47e-08,3.17e-08,2.79e-09,1.00e+00,1.52e-07,6.21e+00,0.00e+00,6.21e+00,0.00,0.00e+00,6.21e+00,0.00e+00,1.00e+00,3978,4.10e+00
9000,4500,450000,1.02e-04,1.36e+00,0.00e+00,1.36e+00,8.20,1.36e+00,1.36e+00,3.87e-01,1.00e+00,1.12e+01,1.41e-07,3.90e+00,-7.29e+00,0.30,5.23e-09,3.06e-08,2.65e-10,1.00e+00,1.36e-07,9.83e+00,0.00e+00,9.83e+00,0.00,0.00e+00,9.83e+00,0.00e+00,1.00e+00,4463,3.90e+00
10000,5000,500000,1.02e-04,7.19e+01,0.00e+00,7.19e+01,6.90,7.19e+01,7.19e+01,8.00e+00,1.00e+00,1.49e+02,1.31e-07,3.20e+00,-1.46e+02,0.00,0.00e+00,1.97e-08,0.00e+00,1.00e+00,1.26e-07,7.74e+01,0.00e+00,7.74e+01,0.00,0.00e+00,7.74e+01,0.00e+00,1.00e+00,4950,3.20e+00
11000,5500,550000,5.71e-05,4.30e-02,0.00e+00,4.29e-02,9.50,4.30e-02,4.30e-02,5.92e-05,1.00e+00,4.99e-01,1.40e-07,3.50e+00,3.00e+00,0.10,2.19e-09,2.88e-08,1.76e-09,1.00e+00,1.37e-07,4.56e-01,0.00e+00,4.56e-01,0.00,0.00e+00,4.56e-01,0.00e+00,1.00e+00,5435,3.50e+00
12000,6000,600000,4.33e-05,5.77e-03,0.00e+00,5.73e-03,6.60,5.77e-03,5.77e-03,2.03e-04,1.00e+00,7.43e-02,1.55e-07,3.50e+00,3.43e+00,0.00,3.26e-09,4.43e-08,0.00e+00,1.00e+00,1.37e-07,6.86e-02,0.00e+00,6.86e-02,0.00,0.00e+00,6.86e-02,0.00e+00,1.00e+00,5921,3.50e+00
13000,6500,650000,6.36e-05,1.40e-03,0.00e+00,1.34e-03,21.00,1.40e-03,1.40e-03,9.98e-04,1.00e+00,3.94e-01,2.19e-07,5.40e+00,5.01e+00,0.10,4.46e-10,5.53e-08,1.84e-10,1.00e+00,1.95e-07,3.93e-01,0.00e+00,3.93e-01,0.00,0.00e+00,3.93e-01,0.00e+00,1.00e+00,6406,5.40e+00
14000,7000,700000,2.11e-02,2.14e-04,3.00e-01,2.79e-01,8.80,1.49e-04,1.52e-04,9.31e-05,1.00e+00,2.99e+00,6.05e-07,1.80e+00,-1.19e+00,0.20,6.74e-09,2.58e-07,2.52e-09,1.00e+00,5.87e-07,3.01e+00,0.00e+00,3.01e+00,0.00,0.00e+00,3.01e+00,0.00e+00,1.00e+00,6881,2.10e+00
