episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
100,100,8000,0.000e+00,0.000e+00,-1.471e+00,-1.471e+00,5.250e-01,0.000e+00,0.000e+00,-1.529e+00,-1.529e+00,5.250e-01
200,200,16000,0.000e+00,0.000e+00,-1.476e+00,-1.476e+00,5.355e-01,0.000e+00,0.000e+00,-1.509e+00,-1.509e+00,5.355e-01
300,300,24000,0.000e+00,0.000e+00,-1.439e+00,-1.439e+00,5.054e-01,0.000e+00,0.000e+00,-1.547e+00,-1.547e+00,5.054e-01
400,400,32000,0.000e+00,0.000e+00,-1.481e+00,-1.481e+00,5.410e-01,0.000e+00,0.000e+00,-1.501e+00,-1.501e+00,5.410e-01
500,500,40000,0.000e+00,0.000e+00,-1.443e+00,-1.443e+00,5.028e-01,0.000e+00,0.000e+00,-1.518e+00,-1.518e+00,5.028e-01
600,600,48000,0.000e+00,0.000e+00,-1.455e+00,-1.455e+00,5.181e-01,0.000e+00,0.000e+00,-1.470e+00,-1.470e+00,5.181e-01
700,700,56000,0.000e+00,0.000e+00,-1.439e+00,-1.439e+00,5.081e-01,0.000e+00,0.000e+00,-1.491e+00,-1.491e+00,5.081e-01
800,800,64000,0.000e+00,0.000e+00,-1.389e+00,-1.389e+00,4.985e-01,0.000e+00,0.000e+00,-1.487e+00,-1.487e+00,4.985e-01
900,900,72000,0.000e+00,0.000e+00,-1.404e+00,-1.404e+00,4.834e-01,0.000e+00,0.000e+00,-1.439e+00,-1.439e+00,4.834e-01
1000,1000,80000,0.000e+00,0.000e+00,-1.351e+00,-1.351e+00,4.193e-01,0.000e+00,0.000e+00,-1.460e+00,-1.460e+00,4.193e-01
1100,1100,88000,0.000e+00,0.000e+00,-1.313e+00,-1.313e+00,4.534e-01,0.000e+00,0.000e+00,-1.460e+00,-1.460e+00,4.534e-01
1200,1200,96000,0.000e+00,0.000e+00,-1.291e+00,-1.291e+00,4.452e-01,0.000e+00,0.000e+00,-1.384e+00,-1.384e+00,4.452e-01
1300,1300,104000,0.000e+00,0.000e+00,-1.208e+00,-1.208e+00,3.540e-01,0.000e+00,0.000e+00,-1.395e+00,-1.395e+00,3.540e-01
1400,1400,112000,0.000e+00,0.000e+00,-1.122e+00,-1.122e+00,3.067e-01,0.000e+00,0.000e+00,-1.374e+00,-1.374e+00,3.067e-01
1500,1500,120000,0.000e+00,0.000e+00,-1.082e+00,-1.082e+00,2.451e-01,0.000e+00,0.000e+00,-1.322e+00,-1.322e+00,2.451e-01
1600,1600,128000,0.000e+00,0.000e+00,-1.027e+00,-1.027e+00,1.636e-01,0.000e+00,0.000e+00,-1.259e+00,-1.259e+00,1.636e-01
1700,1700,136000,0.000e+00,0.000e+00,-1.001e+00,-1.001e+00,1.004e-01,0.000e+00,0.000e+00,-1.175e+00,-1.175e+00,1.004e-01
1800,1800,144000,0.000e+00,0.000e+00,-9.965e-01,-9.965e-01,6.200e-02,0.000e+00,0.000e+00,-1.090e+00,-1.090e+00,6.200e-02
